	Content	Vaccine content	Vaccine safety	date	text_clean	Filter	text_wo_filter_word	text_wo_stopwords_or_filter
128	Presentato il primo protocollo di disintossicazione dalla Spike https://t.co/3id78YrgU5	1.0	1.0	2023-09-24 19:12	presentato il primo protocollo di disintossicazione dalla spike 	vaccini	presentato il primo protocollo di disintossicazione dalla spike 	presentato primo protocollo disintossicazione spike
131	Presentato il primo protocollo di disintossicazione dalla Spike https://t.co/CIgwiTdCgg	1.0	1.0	2023-09-13 8:34	presentato il primo protocollo di disintossicazione dalla spike 	vaccini	presentato il primo protocollo di disintossicazione dalla spike 	presentato primo protocollo disintossicazione spike
132	Pro memoria x tutti coloro che si sono fidati e fatti infinocchiare da Conte Speranza Draghi Meloni Mattarella,personaggi che vi hanno convinto a prendere i vaccini : i circa 30 prodotti che li compongono hanno uno sviluppo negativo,non sempre,anche dopo anni.Volutamente. https://t.co/lzX70sss2c	1.0	1.0	2023-09-08 12:12	pro memoria x tutti coloro che si sono fidati e fatti infinocchiare da conte speranza draghi meloni mattarellapersonaggi che vi hanno convinto a prendere i vaccini  i circa  prodotti che li compongono hanno uno sviluppo negativonon sempreanche dopo annivolutamente 	vaccini	pro memoria x tutti coloro che si sono fidati e fatti infinocchiare da conte speranza draghi meloni mattarellapersonaggi che vi hanno convinto a prendere i   i circa  prodotti che li compongono hanno uno sviluppo negativonon sempreanche dopo annivolutamente 	pro memoria x coloro fidati fatti infinocchiare conte speranza draghi meloni mattarellapersonaggi convinto prendere circa prodotti compongono sviluppo negativonon sempreanche dopo annivolutamente
135	Quando succede una tragedia a #Mestre ma tu devi dare la colpa ai vaccini perchè oltre che minus habes sei anche dimenticato. https://t.co/SDJoE43mNB	1.0	1.0	2023-10-04 12:58	quando succede una tragedia a mestre ma tu devi dare la colpa ai vaccini perchè oltre che minus habes sei anche dimenticato 	vaccini	quando succede una tragedia a mestre ma tu devi dare la colpa ai  perchè oltre che minus habes sei anche dimenticato 	quando succede tragedia mestre devi dare colpa perchè oltre minus habes dimenticato
137	Quel guardrail (se così si può chiamare, e a mio modestissimo avviso non si può) non avrebbe retto nemmeno l'urto di un calesse, ma qua sopra hanno riaperto le gabbie di quelli contro i vaccini.#Mestre #Brugnaro #Venezia	1.0	1.0	2023-10-04 9:55	quel guardrail se così si può chiamare e a mio modestissimo avviso non si può non avrebbe retto nemmeno luo di un calesse ma qua sopra hanno riapeo le gabbie di quelli contro i vaccinimestre brugnaro venezia	vaccini	quel guardrail se così si può chiamare e a mio modestissimo avviso non si può non avrebbe retto nemmeno luo di un calesse ma qua sopra hanno riapeo le gabbie di quelli contro i mestre brugnaro venezia	quel guardrail così può chiamare modestissimo avviso può retto nemmeno luo calesse qua sopra riapeo gabbie mestre brugnaro venezia
138	Questo cambia tutto! EMA e Commissione Europea finalmente ammettono i morti per vaccini Covid-19 Comirnaty di Pfizer/BioNTech e Spikevax di Moderna.Chiediamo che si dimettano subito i giudici della Corte Costituzionale! - Renate Holzeisen ?@byoblu?  https://t.co/42jpAnDCcZ	1.0	1.0	2023-09-22 20:15	questo cambia tutto ema e commissione europea finalmente ammettono i moi per vaccini covid  comirnaty di pfizerbiontech e spikevax di modernachiediamo che si dimettano subito i giudici della coe costituzionale  renate holzeisen   	vaccini	questo cambia tutto ema e commissione europea finalmente ammettono i moi per  covid  comirnaty di pfizerbiontech e spikevax di modernachiediamo che si dimettano subito i giudici della coe costituzionale  renate holzeisen   	cambia ema commissione europea finalmente ammettono moi covid comirnaty pfizerbiontech spikevax modernachiediamo dimettano subito giudici coe costituzionale renate holzeisen
139	Remuzzi ha appena ammesso che i vaccini COVID hanno avuto lo stesso effetto delle bombe atomiche su Hiroshima e Nagasaki insieme: 160.000 morti https://t.co/AJDlfbFXNX	1.0	1.0	2023-10-05 20:27	remuzzi ha appena ammesso che i vaccini covid hanno avuto lo stesso effetto delle bombe atomiche su hiroshima e nagasaki insieme  moi 	vaccini	remuzzi ha appena ammesso che i  covid hanno avuto lo stesso effetto delle bombe atomiche su hiroshima e nagasaki insieme  moi 	remuzzi appena ammesso covid stesso effetto bombe atomiche hiroshima nagasaki insieme moi
140	RICOMINCIA LA FARSA DEI COSIDETTI VACCINI https://t.co/wU62YFttcy	1.0	0.0	2023-09-13 7:15	ricomincia la farsa dei cosidetti vaccini 	vaccini	ricomincia la farsa dei cosidetti  	ricomincia farsa cosidetti
141	"Ricordate le #balle di #Draghi?: ""Se #Non ti #Vaccini, #Contagi, #Muori e fai #morire"". Ricordiamo a #Draghi che i #Non #Vaccinati sono ancora #Vivi! https://t.co/c3DxmaX3j1 https://t.co/08tlXdJM7u"	1.0	1.0	2023-09-18 2:50	ricordate le balle di draghi se non ti vaccini contagi muori e fai morire ricordiamo a draghi che i non vaccinati sono ancora vivi  	vaccini	ricordate le balle di draghi se non ti  contagi muori e fai morire ricordiamo a draghi che i non vaccinati sono ancora vivi  	ricordate balle draghi contagi muori morire ricordiamo draghi vaccinati ancora vivi
142	RT @___Anna22: FINALMENTE INIZIA A PASSARE QUALCOSA ANCHE NEI TELEGIORNALI TGR RAI LIGURIA In piazza, in Liguria il collettivo sanitari con l'egida del CUB (Confederazione Unitaria di Base) ha incontrato i cittadini su vaccini e cure Covid: informati per essere liberi di scegliere!?? https://t.co/fIP3kZyOKp	1.0	0.0	2023-09-13 10:54	  finalmente inizia a passare qualcosa anche nei telegiornali tgr rai liguria in piazza in liguria il collettivo sanitari con legida del cub confederazione unitaria di base ha incontrato i cittadini su vaccini e cure covid informati per essere liberi di scegliere 	vaccini	  finalmente inizia a passare qualcosa anche nei telegiornali tgr rai liguria in piazza in liguria il collettivo sanitari con legida del cub confederazione unitaria di base ha incontrato i cittadini su  e cure covid informati per essere liberi di scegliere 	finalmente inizia passare qualcosa telegiornali tgr rai liguria piazza liguria collettivo sanitari legida cub confederazione unitaria base incontrato cittadini cure covid informati essere liberi scegliere
143	@marina_polacco @SkyTG24 I sani sopravvivono gli altri no . È' una legge di natura che il sistema speculativo farmacologico vuole modificare andando a inoculare soggetti sani per mero business  . Vaccini ad anziani e fragili se proprio , come in una normale influenza . E basta parlarne .	1.0	0.0	2023-09-04 7:17	  i sani sopravvivono gli altri no  è una legge di natura che il sistema speculativo farmacologico vuole modificare andando a inoculare soggetti sani per mero business   vaccini ad anziani e fragili se proprio  come in una normale influenza  e basta parlarne 	vaccini	  i sani sopravvivono gli altri no  è una legge di natura che il sistema speculativo farmacologico vuole modificare andando a inoculare soggetti sani per mero business    ad anziani e fragili se proprio  come in una normale influenza  e basta parlarne 	sani sopravvivono altri no legge natura sistema speculativo farmacologico vuole modificare andando inoculare soggetti sani mero business anziani fragili proprio normale influenza basta parlarne
144	RT @___Anna22: Perché non sono vaccini, ma terapie geniche sperimentali Perché il popolo italiano è stato venduto alle Big Pharma, dalla  #Lorenzin.Ecco spiegato il perché.	1.0	1.0	2023-09-08 13:57	  perché non sono vaccini ma terapie geniche sperimentali perché il popolo italiano è stato venduto alle big pharma dalla  lorenzinecco spiegato il perché	vaccini	  perché non sono  ma terapie geniche sperimentali perché il popolo italiano è stato venduto alle big pharma dalla  lorenzinecco spiegato il perché	terapie geniche sperimentali popolo italiano stato venduto big pharma lorenzinecco spiegato
146	"RT @___Anna22: VACCINI COVID SONO DIVISI IN LOTTI LETALI E SALINICatherine Austin Fitts: ""SI STA PARLANDO DI UNA FRODE!"" A livello globale, ad ogni Paese è stata viene assegnata una quota di quanto deve ridurre la propria popolazione"".All'italia, che quota avranno assegnato secondo voi? https://t.co/HQh3bVc5FA"	1.0	1.0	2023-09-03 22:19	  vaccini covid sono divisi in lotti letali e salinicatherine austin fitts si sta parlando di una frode a livello globale ad ogni paese è stata viene assegnata una quota di quanto deve ridurre la propria popolazioneallitalia che quota avranno assegnato secondo voi 	vaccini	   covid sono divisi in lotti letali e salinicatherine austin fitts si sta parlando di una frode a livello globale ad ogni paese è stata viene assegnata una quota di quanto deve ridurre la propria popolazioneallitalia che quota avranno assegnato secondo voi 	covid divisi lotti letali salinicatherine austin fitts parlando frode livello globale ogni paese stata viene assegnata quota deve ridurre propria popolazioneallitalia quota assegnato secondo
147	RT @_MASSlMO_: C'È ANCORA QUALCUNO CHE HA DEI DUBBI SULLA PERICOLOSITÀ DEI VACCINI? Klaus Schwab ha vietato ai piloti vaccinati di trasportare i membri del World Economic Forum da e per Davos a causa del rischio per la sicurezza che rappresentano. https://t.co/4Lbdt5sG9j	1.0	1.0	2023-10-05 18:43	  cè ancora qualcuno che ha dei dubbi sulla pericolosità dei vaccini klaus schwab ha vietato ai piloti vaccinati di traspoare i membri del world economic forum da e per davos a causa del rischio per la sicurezza che rappresentano 	vaccini	  cè ancora qualcuno che ha dei dubbi sulla pericolosità dei  klaus schwab ha vietato ai piloti vaccinati di traspoare i membri del world economic forum da e per davos a causa del rischio per la sicurezza che rappresentano 	cè ancora qualcuno dubbi pericolosità klaus schwab vietato piloti vaccinati traspoare membri world economic forum davos causa rischio sicurezza rappresentano
152	RT @_xenio_: Se a qualcuno può interessare, ho caricato l'intero convegno di ieri della 20ª Giornata nazionale per ricordare le persone decedute o rese disabili dai vaccini.https://t.co/AycxAhKLmV	1.0	1.0	2023-10-05 17:27	  se a qualcuno può interessare ho caricato lintero convegno di ieri della ª giornata nazionale per ricordare le persone decedute o rese disabili dai vaccini	vaccini	  se a qualcuno può interessare ho caricato lintero convegno di ieri della ª giornata nazionale per ricordare le persone decedute o rese disabili dai 	qualcuno può interessare caricato lintero convegno ieri ª giornata nazionale ricordare persone decedute rese disabili
153	RT @_xenio_: ?? Sen. Claudio #Borghi - 20ª giornata per ricordare le persone decedute o rese disabili dai vaccini.https://t.co/9lxWPfnOdH	1.0	1.0	2023-10-04 14:34	   sen claudio borghi  ª giornata per ricordare le persone decedute o rese disabili dai vaccini	vaccini	   sen claudio borghi  ª giornata per ricordare le persone decedute o rese disabili dai 	sen claudio borghi ª giornata ricordare persone decedute rese disabili
154	"Siamo di fronte a qualcosa di molto peggio di un presunto virus. Le lesioni alle persone causate da questi cosiddetti vaccini... Vorrei potervi dire che è stato accidentale, ma non è stato accidentale. Sono convinto che queste iniezioni sono state create per ferire e uccidere."" https://t.co/4i8cMo9ceJ"	1.0	1.0	2023-09-04 12:46	siamo di fronte a qualcosa di molto peggio di un presunto virus le lesioni alle persone causate da questi cosiddetti vaccini vorrei potervi dire che è stato accidentale ma non è stato accidentale sono convinto che queste iniezioni sono state create per ferire e uccidere 	vaccini	siamo di fronte a qualcosa di molto peggio di un presunto virus le lesioni alle persone causate da questi cosiddetti  vorrei potervi dire che è stato accidentale ma non è stato accidentale sono convinto che queste iniezioni sono state create per ferire e uccidere 	fronte qualcosa molto peggio presunto virus lesioni persone causate cosiddetti vorrei potervi dire stato accidentale stato accidentale convinto iniezioni state create ferire uccidere
159	RT @2007_carlo: @Valery4029 @Rosalba_Falzone Un personaggio del genere ha questi problemi, cose da non credere per uno che sbandierava i vaccini come la cosa migliore da fare,vedrà cosa vuol dire prenderla il quel posto!	1.0	0.0	2023-10-15 20:25	    un personaggio del genere ha questi problemi cose da non credere per uno che sbandierava i vaccini come la cosa migliore da farevedrà cosa vuol dire prenderla il quel posto	vaccini	    un personaggio del genere ha questi problemi cose da non credere per uno che sbandierava i  come la cosa migliore da farevedrà cosa vuol dire prenderla il quel posto	personaggio genere problemi cose credere sbandierava cosa migliore farevedrà cosa vuol dire prenderla quel posto
160	"RT @a_alibrandi: Fauci e Obama chiedono che tutti i bambini siano ""vaccinati"" contro il C-19 perché i ""vaccini"" sono sicuri ed efficaci.Questi bugiardi e criminali hanno le mani sporche di sangue! https://t.co/E3yfX9Pahm"	1.0	1.0	2023-10-07 21:28	  fauci e obama chiedono che tutti i bambini siano vaccinati contro il c perché i vaccini sono sicuri ed efficaciquesti bugiardi e criminali hanno le mani sporche di sangue 	vaccini	  fauci e obama chiedono che tutti i bambini siano vaccinati contro il c perché i  sono sicuri ed efficaciquesti bugiardi e criminali hanno le mani sporche di sangue 	fauci obama chiedono bambini vaccinati sicuri efficaciquesti bugiardi criminali mani sporche sangue
162	RT @a_meluzzi: Il Nobel per la medicina a Katalin Karikó e Drew Weissman per gli studi usati nei vaccini contro il Covid - Open gli interessi sono troppi grandi perché la strategia maligna cambi!!!! https://t.co/wqPEQmoKje	1.0	0.0	2023-10-02 14:04	  il nobel per la medicina a katalin karikó e drew weissman per gli studi usati nei vaccini contro il covid  open gli interessi sono troppi grandi perché la strategia maligna cambi 	vaccini	  il nobel per la medicina a katalin karikó e drew weissman per gli studi usati nei  contro il covid  open gli interessi sono troppi grandi perché la strategia maligna cambi 	nobel medicina katalin karikó drew weissman studi usati covid open interessi troppi grandi strategia maligna cambi
165	RT @a_meluzzi: Presentato il primo protocollo di disintossicazione dalla Spike https://t.co/wkN7kN9NTb	1.0	1.0	2023-09-13 7:22	  presentato il primo protocollo di disintossicazione dalla spike 	vaccini	  presentato il primo protocollo di disintossicazione dalla spike 	presentato primo protocollo disintossicazione spike
173	RT @Adnkronos: L'intervista al medico Massimo Citro della Riva in cui si è parlato di presunti pericoli dei vaccini #Adnkronos https://t.co/tQ77IjtuGU	1.0	1.0	2023-09-24 11:36	  lintervista al medico massimo citro della riva in cui si è parlato di presunti pericoli dei vaccini adnkronos 	vaccini	  lintervista al medico massimo citro della riva in cui si è parlato di presunti pericoli dei  adnkronos 	lintervista medico massimo citro riva parlato presunti pericoli adnkronos
174	RT @Adnkronos: 'Per un efficace contenimento del virus in vista della campagna d'autunno'  https://t.co/WkhNSBOexY	1.0	0.0	2023-09-20 6:06	  per un efficace contenimento del virus in vista della campagna dautunno  	vaccini	  per un efficace contenimento del virus in vista della campagna dautunno  	efficace contenimento virus vista campagna dautunno
175	RT @AdrianaSpappa: #LaSorella: eh però la popolazione alle bufale ci crede, e prima che queste bufale siano effettivamente bufale, il danno lo hanno fattoVero, tipo quando Draghi ha detto non ti vaccini contagi muori https://t.co/bjpbUyH8zl	1.0	0.0	2023-09-28 20:34	  lasorella eh però la popolazione alle bufale ci crede e prima che queste bufale siano effettivamente bufale il danno lo hanno fattovero tipo quando draghi ha detto non ti vaccini contagi muori 	vaccini	  lasorella eh però la popolazione alle bufale ci crede e prima che queste bufale siano effettivamente bufale il danno lo hanno fattovero tipo quando draghi ha detto non ti  contagi muori 	lasorella eh però popolazione bufale crede prima bufale effettivamente bufale danno fattovero tipo quando draghi detto contagi muori
176	"RT @Adriano72197026: ?? Sabrina F.  Video censurato su Facebook.  ?? Dr. Peter McCullough: ""RITIRARE SUBITO TUTTI I ""VACCINI"" mRNA DAL MERCATO""   Bisogna condividere ovunque. https://t.co/3XCYTs95Da"	1.0	1.0	2023-10-14 6:22	   sabrina f  video censurato su facebook   dr peter mccullough ritirare subito tutti i vaccini mrna dal mercato   bisogna condividere ovunque 	vaccini	   sabrina f  video censurato su facebook   dr peter mccullough ritirare subito tutti i  mrna dal mercato   bisogna condividere ovunque 	sabrina f video censurato facebook dr peter mccullough ritirare subito mrna mercato bisogna condividere ovunque
179	RT @Adriano72197026: ?Provate a farvi un giro su #TikTok scrivendo #bellspalsy guardate quante persone ci sono che mostrano i loro sintomi??Parliamo di una malattia molto rara prima dei vaccini 7-4 casi su 100.000#realnotrare #vaccinicovid #bellspalsy @lvogruppohttps://t.co/6Khss0dnZF https://t.co/n5C3Sb7J5Q	1.0	1.0	2023-08-31 15:46	  provate a farvi un giro su tiktok scrivendo bellspalsy guardate quante persone ci sono che mostrano i loro sintomiparliamo di una malattia molto rara prima dei vaccini  casi su realnotrare vaccinicovid bellspalsy tcokhssdnzf 	vaccini	  provate a farvi un giro su tiktok scrivendo bellspalsy guardate quante persone ci sono che mostrano i loro sintomiparliamo di una malattia molto rara prima dei   casi su realnotrare covid bellspalsy tcokhssdnzf 	provate farvi giro tiktok scrivendo bellspalsy guardate persone mostrano sintomiparliamo malattia molto rara prima casi realnotrare covid bellspalsy tcokhssdnzf
180	"RT @Adriano72197026: 2 )Sugli effetti avversi invece, AIFA diceva: ""RACCOMANDIAMO CHE NON VENGANO DIVULGATI"".Ora gli italiani aspettano che qualche procura cominci seriamente a indagare sui vaccini e smettano di giocare ai lockdown. https://t.co/phqQ16QJfl"	1.0	1.0	2023-09-03 7:08	   sugli effetti avversi invece aifa diceva raccomandiamo che non vengano divulgatiora gli italiani aspettano che qualche procura cominci seriamente a indagare sui vaccini e smettano di giocare ai lockdown 	vaccini	   sugli effetti avversi invece aifa diceva raccomandiamo che non vengano divulgatiora gli italiani aspettano che qualche procura cominci seriamente a indagare sui  e smettano di giocare ai lockdown 	effetti avversi invece aifa diceva raccomandiamo vengano divulgatiora italiani aspettano qualche procura cominci seriamente indagare smettano giocare lockdown
182	RT @Adriano72197026: COVID 19, PANDEMIA, VACCINIAllarme: i vaccini danneggiano sempre il cuore https://t.co/L4XKR9vljM https://t.co/28O55biOCb	1.0	1.0	2023-10-07 20:08	  covid  pandemia vacciniallarme i vaccini danneggiano sempre il cuore  	vaccini	  covid  pandemia allarme i  danneggiano sempre il cuore  	covid pandemia allarme danneggiano sempre cuore
183	RT @Adriano72197026: Dr. Leopoldo Salmaso (Infettivologo) sulla questione (bufala) Long Covid: Il Long Covid comoda scusa dopo che sono arrivati i falsi vaccini che faranno danni per altri 20 anni.1 parte del video ?? https://t.co/rFTECzdJLS	1.0	1.0	2023-09-24 19:25	  dr leopoldo salmaso infettivologo sulla questione bufala long covid il long covid comoda scusa dopo che sono arrivati i falsi vaccini che faranno danni per altri  anni pae del video  	vaccini	  dr leopoldo salmaso infettivologo sulla questione bufala long covid il long covid comoda scusa dopo che sono arrivati i falsi  che faranno danni per altri  anni pae del video  	dr leopoldo salmaso infettivologo questione bufala long covid long covid comoda scusa dopo arrivati falsi danni altri anni pae video
192	RT @Adriano72197026: In memoria di chi ha pagato con la vita la loro sete di verità:D. Biscardi, B. Pepe, De Donno, etcI vaccini ad mRNA sono già stati sperimentati 5 anni fa e i risultati pubblicati sulla rivista Lancet. Ebbene, sono morti tutti nel giro di due anni.Adesso le cavie siete voi ?? https://t.co/vFnVxoJVBM	1.0	1.0	2023-09-13 14:19	  in memoria di chi ha pagato con la vita la loro sete di veritàd biscardi b pepe de donno etci vaccini ad mrna sono già stati sperimentati  anni fa e i risultati pubblicati sulla rivista lancet ebbene sono moi tutti nel giro di due anniadesso le cavie siete voi  	vaccini	  in memoria di chi ha pagato con la vita la loro sete di veritàd biscardi b pepe de donno etci  ad mrna sono già stati sperimentati  anni fa e i risultati pubblicati sulla rivista lancet ebbene sono moi tutti nel giro di due anniadesso le cavie siete voi  	memoria pagato vita sete veritàd biscardi b pepe de donno etci mrna già stati sperimentati anni fa risultati pubblicati rivista lancet ebbene moi giro due anniadesso cavie
194	RT @Adriano72197026: La medicina nelle mani della politica è una cattiva cosa. La cattiva medicina nelle mani della politica è una cosa pericolosa. La cattiva medicina nelle mani di una cattiva politica è una cosa agghiacciante. #vaccini#Sivax#novax#freevax#greenpass#stopgreenpass https://t.co/nggPihargT	1.0	0.0	2023-09-11 9:17	  la medicina nelle mani della politica è una cattiva cosa la cattiva medicina nelle mani della politica è una cosa pericolosa la cattiva medicina nelle mani di una cattiva politica è una cosa agghiacciante vaccinisivax novax freevax greenpassstopgreenpass 	vaccini	  la medicina nelle mani della politica è una cattiva cosa la cattiva medicina nelle mani della politica è una cosa pericolosa la cattiva medicina nelle mani di una cattiva politica è una cosa agghiacciante sivax novax freevax greenpassstopgreenpass 	medicina mani politica cattiva cosa cattiva medicina mani politica cosa pericolosa cattiva medicina mani cattiva politica cosa agghiacciante sivax novax freevax greenpassstopgreenpass
197	RT @Adriano72197026: L'avvocato tedesco Tobias Ulbrich, che rappresenta innumerevoli vittime dei vaccini, vede nella sua pratica, la conferma che il danno maggiore è causato da un numero limitato di lotti. TRA I PIÙ PERICOLOSI TROVIAMO QUELLI  DI PFIZER E MODERNA. https://t.co/Hf0ejXGoWd	1.0	1.0	2023-10-13 1:24	  lavvocato tedesco tobias ulbrich che rappresenta innumerevoli vittime dei vaccini vede nella sua pratica la conferma che il danno maggiore è causato da un numero limitato di lotti tra i più pericolosi troviamo quelli  di pfizer e moderna 	vaccini	  lavvocato tedesco tobias ulbrich che rappresenta innumerevoli vittime dei  vede nella sua pratica la conferma che il danno maggiore è causato da un numero limitato di lotti tra i più pericolosi troviamo quelli  di pfizer e moderna 	lavvocato tedesco tobias ulbrich rappresenta innumerevoli vittime vede pratica conferma danno maggiore causato numero limitato lotti pericolosi troviamo pfizer moderna
198	RT @Adriano72197026: L'Ue sa tutto sulle miocarditi, ma spinge ancora a vaccinarsiLa Commissione aggiorna il registro dei farmaci autorizzati e ammette il rischio aumentato di pericarditi e miocarditi dopo i vaccini a Mrna, decessi compresi. https://t.co/ZAC7K0Ssuj ??	1.0	1.0	2023-09-26 17:41	  lue sa tutto sulle miocarditi ma spinge ancora a vaccinarsila commissione aggiorna il registro dei farmaci autorizzati e ammette il rischio aumentato di pericarditi e miocarditi dopo i vaccini a mrna decessi compresi  	vaccini	  lue sa tutto sulle miocarditi ma spinge ancora a vaccinarsila commissione aggiorna il registro dei farmaci autorizzati e ammette il rischio aumentato di pericarditi e miocarditi dopo i  a mrna decessi compresi  	lue sa miocarditi spinge ancora vaccinarsila commissione aggiorna registro farmaci autorizzati ammette rischio aumentato pericarditi miocarditi dopo mrna decessi compresi
200	"RT @Adriano72197026: Nella città di Izumiotsu, Osaka, ( Giappone) smette di raccomandare vaccinazioni rischiose.L' Associazione dei governi locali e dei medici hanno espresso il loro punto di vista sugli effetti collaterali dei vaccini.""Più persone vaccinate, più le persone infette diventano"" https://t.co/NSeLSjBl9n"	1.0	1.0	2023-09-09 12:47	  nella città di izumiotsu osaka  giappone smette di raccomandare vaccinazioni rischiosel associazione dei governi locali e dei medici hanno espresso il loro punto di vista sugli effetti collaterali dei vaccinipiù persone vaccinate più le persone infette diventano 	vaccini	  nella città di izumiotsu osaka  giappone smette di raccomandare vaccinazioni rischiosel associazione dei governi locali e dei medici hanno espresso il loro punto di vista sugli effetti collaterali dei più persone vaccinate più le persone infette diventano 	città izumiotsu osaka giappone smette raccomandare vaccinazioni rischiosel associazione governi locali medici espresso punto vista effetti collaterali persone vaccinate persone infette diventano
202	RT @Adriano72197026: NON È SEMPRE SUCCESSO NEI NEONATI- Il finto vaccino passa attraverso il latte materno- I finti vaccini passano attraverso la placenta come la stessa Pfizer ha scritto.- l'mRNA vaccinale non si degrada velocemente- Il DNA contaminante può causare malori improvvisi e morte. https://t.co/HZ3dczVtC7	1.0	1.0	2023-10-12 9:35	  non è sempre successo nei neonati il finto vaccino passa attraverso il latte materno i finti vaccini passano attraverso la placenta come la stessa pfizer ha scritto lmrna vaccinale non si degrada velocemente il dna contaminante può causare malori improvvisi e moe 	vaccini	  non è sempre successo nei neonati il finto vaccino passa attraverso il latte materno i finti  passano attraverso la placenta come la stessa pfizer ha scritto lmrna vaccinale non si degrada velocemente il dna contaminante può causare malori improvvisi e moe 	sempre successo neonati finto vaccino passa attraverso latte materno finti passano attraverso placenta stessa pfizer scritto lmrna vaccinale degrada velocemente dna contaminante può causare malori improvvisi moe
204	"RT @Adriano72197026: VACCINATA PER PAURA DI MORIREED È MORTA ?? FIERA DI ESSERE IN(o)CULATAIL ""VACCINI"" DI LUCA #ZAIA E #BONACCINI HANNO FUNZIONATO PERFETTAMENTE PER LA FUNZIONE PER CUI SONO STATI STUDIATI DAI MILITARILINK ??NECROLOGIA DEI VACCINI https://t.co/CfD53R6JP3"	1.0	1.0	2023-09-26 21:21	  vaccinata per paura di morireed è moa  fiera di essere inoculatail vaccini di luca zaia e bonaccini hanno funzionato perfettamente per la funzione per cui sono stati studiati dai militarilink necrologia dei vaccini 	vaccini	  vaccinata per paura di morireed è moa  fiera di essere inoculatail  di luca zaia e bonaccini hanno funzionato perfettamente per la funzione per cui sono stati studiati dai militarilink necrologia dei  	vaccinata paura morire moa fiera essere inoculatail luca zaia bonaccini funzionato perfettamente funzione stati studiati militarilink necrologia
209	RT @Adriano72197026: VIDEO SULL'INEFFICACIA DEI VACCINI FATTO OCULATAMENTE SPARIRE DALLA RAI......DIFFONDETELO OVUNQUE e salvate il video ?? https://t.co/RCCfaYeP3c	1.0	0.0	2023-09-16 13:33	  video sullinefficacia dei vaccini fatto oculatamente sparire dalla raidiffondetelo ovunque e salvate il video  	vaccini	  video sullinefficacia dei  fatto oculatamente sparire dalla raidiffondetelo ovunque e salvate il video  	video sullinefficacia fatto oculatamente sparire raidiffondetelo ovunque salvate video
210	RT @Adriano72197026: ?? Vaccini Covid, farmacovigilanza: numero enorme di segnalazioni su reazioni avverse ?? ImolaOggi29 Agosto 2023 ? https://t.co/YlfWx4DErB https://t.co/47TgTLP3Fc	1.0	1.0	2023-08-29 13:44	   vaccini covid  farmacovigilanza numero enorme di segnalazioni su reazioni avverse  imolaoggi agosto    	vaccini	    covid  farmacovigilanza numero enorme di segnalazioni su reazioni avverse  imolaoggi agosto    	covid farmacovigilanza numero enorme segnalazioni reazioni avverse imolaoggi agosto
214	RT @Adriano72197026: ????SUPER COMPILATION ??1 parte del video ?? Aggiornamento sul rischio di miocardite e pericardite con vaccini mRNAhttps://t.co/yObR1vKuoa https://t.co/8G6WEfKv5s	1.0	1.0	2023-09-27 10:13	  super compilation  pae del video  aggiornamento sul rischio di miocardite e pericardite con vaccini mrna 	vaccini	  super compilation  pae del video  aggiornamento sul rischio di miocardite e pericardite con  mrna 	super compilation pae video aggiornamento rischio miocardite pericardite mrna
216	RT @Agenzia_Ansa: Il Nobel per la Medicina 2023 è stato assegnato a Katalin Karikó e Drew Weissman per avere gettato le basi per i vaccini a mRna messaggero che hanno reso possibili i vaccini anti Covid-19 #ANSA https://t.co/CYpMht6DqF	1.0	0.0	2023-10-02 15:04	  il nobel per la medicina  è stato assegnato a katalin karikó e drew weissman per avere gettato le basi per i vaccini a mrna messaggero che hanno reso possibili i vaccini anti covid  ansa 	vaccini	  il nobel per la medicina  è stato assegnato a katalin karikó e drew weissman per avere gettato le basi per i  a mrna messaggero che hanno reso possibili i  anti covid  ansa 	nobel medicina stato assegnato katalin karikó drew weissman avere gettato basi mrna messaggero reso possibili anti covid ansa
220	RT @Airt_live: @MassimoGalli51 Fior di virologi, vax, no vax, in giro per il mondo si confrontavano, discutevano tranquillamente, anche in paesi come il mio dove abbiamo avuto 8 mesi senza un caso prima che arrivasse il vaccino e dopo 2 vaccini abbiamo avuto dei picchi, risolti curando tutti.Questo	1.0	0.0	2023-09-21 18:40	   fior di virologi vax  no vax  in giro per il mondo si confrontavano discutevano tranquillamente anche in paesi come il mio dove abbiamo avuto 8 mesi senza un caso prima che arrivasse il vaccino e dopo  vaccini abbiamo avuto dei picchi risolti curando tuttiquesto	vaccini	   fior di virologi vax  no vax  in giro per il mondo si confrontavano discutevano tranquillamente anche in paesi come il mio dove abbiamo avuto 8 mesi senza un caso prima che arrivasse il vaccino e dopo   abbiamo avuto dei picchi risolti curando tuttiquesto	fior virologi vax no vax giro mondo confrontavano discutevano tranquillamente paesi 8 mesi senza caso prima arrivasse vaccino dopo picchi risolti curando tuttiquesto
