	Text	Vaccine content	Vaccine safety	text_clean	Filter	text_without_stopwords	text_wo_filter_word
27	more and more people are realizing how damaging the covid vaccines are, they lied during the trials.  my daughter is proof.  #maddiedegarayhttps://t.co/4n9ce6lnir	1	1	more and more people are realizing how damaging the covid vaccine  are they lied during the trials  my daughter is proof  maddiedegaray	vaccine	people realizing damaging covid vaccine lied trials daughter proof maddiedegaray	more and more people are realizing how damaging the covid   are they lied during the trials  my daughter is proof  maddiedegaray
28	more covid-19 vaccine death data 👇🤬https://t.co/xpeyg6jpun	1	1	more covid  vaccine death data 	vaccine	covid vaccine death data	more covid   death data 
29	ngl. the covid vaccine got me thinking i have hea problems now.	1	1	ngl the covid vaccine got me thinking i have hea problems now	vaccine	ngl covid vaccine got thinking hea problems	ngl the covid  got me thinking i have hea problems now
30	"people who received pfizer's covid vaccine showed a 23.5% greater likelihood of dying than the placebo group after six months.viral rfk jr. video gets deleted by ""x"": here's what they didn't want you to see https://t.co/3n8xejwamp"	1	1	people who received pfizers covid vaccine showed a 235 greater likelihood of dying than the placebo group after six monthsviral rfk jr video gets deleted by x heres what they didnt want you to see 	vaccine	people received pfizers covid vaccine showed 235 greater likelihood dying placebo group six monthsviral rfk jr video gets deleted x heres didnt want see	people who received pfizers covid  showed a 235 greater likelihood of dying than the placebo group after six monthsviral rfk jr video gets deleted by x heres what they didnt want you to see 
31	pfizer, j&amp;j pressured south africa into shielding companies from covid vaccine injury claims: documents - https://t.co/c8f1mwjmiw, j&amp;j pressured south africa into shielding com... https://t.co/26orahydmd	1	1	pfizer jj pressured south africa into shielding companies from covid vaccine injury claims documents   jj pressured south africa into shielding com 	vaccine	pfizer jj pressured south africa shielding companies covid vaccine injury claims documents jj pressured south africa shielding com	pfizer jj pressured south africa into shielding companies from covid  injury claims documents   jj pressured south africa into shielding com 
32	"rand paul: ""the risks of the vaccine outweigh the risks of the disease."" https://t.co/co6jknyw9i"	1	1	rand paul the risks of the vaccine outweigh the risks of the disease 	vaccine	rand paul risks vaccine outweigh risks disease	rand paul the risks of the  outweigh the risks of the disease 
33	safe and effective, covid-19 vaccines have been shown to prevent severe illness, hospitalization, death. visit @cdc – https://t.co/okapxrj0nc to arm yourself with the facts. learn about nasw's campaign to promote vaccine confidence: https://t.co/m0yafaplsw @nasw @naswfoundation https://t.co/sx9d24z7bf	1	1	safe and effective covid  vaccine  have been shown to prevent severe illness hospitalization death visit    to arm yourself with the facts learn about nasws campaign to promote vaccine confidence    	vaccine	safe effective covid vaccine shown prevent severe illness hospitalization death visit arm facts learn nasws campaign promote vaccine confidence	safe and effective covid    have been shown to prevent severe illness hospitalization death visit    to arm yourself with the facts learn about nasws campaign to promote  confidence    
34	saying it again. don't believe the covid vaccine is harmful. however the gene altering mrna is a real problem in my mind. much more testing is needed.	1	1	saying it again dont believe the covid vaccine is harmful however the gene altering mrna is a real problem in my mind much more testing is needed	vaccine	saying dont believe covid vaccine harmful however gene altering mrna real problem mind much testing needed	saying it again dont believe the covid  is harmful however the gene altering mrna is a real problem in my mind much more testing is needed
35	sgt repo - complete denial - with dr.william makis (sep.5, 2023)#vaccinegenocide #diedsuddenly #vaccine #nuremberg2 #mrna #turbocancer #cancer #ctv #cbc #ctvtweets #pfizer #canada #trudeau #ctv #cbchttps://t.co/yasoaxonp7	1	1	sgt repo  complete denial  with drwilliam makis sep5 2023vaccine enocide diedsuddenly vaccine nuremberg2 mrna turbocancer cancer ctv cbc ctvtweets pfizer canada trudeau ctv cbc	vaccine	sgt repo complete denial drwilliam makis sep5 2023vaccine enocide diedsuddenly vaccine nuremberg2 mrna turbocancer cancer ctv cbc ctvtweets pfizer canada trudeau ctv cbc	sgt repo  complete denial  with drwilliam makis sep5 2023 enocide diedsuddenly  nuremberg2 mrna turbocancer cancer ctv cbc ctvtweets pfizer canada trudeau ctv cbc
36	stan van gundy- do you still push the #vaccine?#vaccinegenocide #diedsuddenly #vaccine #nuremberg2  #mrna #turbocancer #cancer #ctv  #pfizer masks #trudeau #canada #cdc #fda @espn @stanvangundy @stanvangundy.comhttps://www.brighteon. com/57045c82-9dd0-4fa3-af3f-aa453fa902f3	1	1	stan van gundy do you still push the vaccine vaccine enocide diedsuddenly vaccine nuremberg2  mrna turbocancer cancer ctv  pfizer masks trudeau canada cdc fda   com com57045c82dd04fa3af3faa453fa02f3	vaccine	stan van gundy still push vaccine vaccine enocide diedsuddenly vaccine nuremberg2 mrna turbocancer cancer ctv pfizer masks trudeau canada cdc fda com com57045c82dd04fa3af3faa453fa02f3	stan van gundy do you still push the   enocide diedsuddenly  nuremberg2  mrna turbocancer cancer ctv  pfizer masks trudeau canada cdc fda   com com57045c82dd04fa3af3faa453fa02f3
37	the cdc wants to hide the vaers data for covid. https://t.co/wnyl2ncjc3	1	1	the cdc wants to hide the vaers data for covid  	vaccine	cdc wants hide vaers data covid	the cdc wants to hide the vaers data for covid  
38	the fact that this criminal agency still exists says it all about america's health and science. #covidvaccines #cdc #covid19 the cdc has halted the collection of covid-19 vaccine adverse events repos through the agency's v-safe page.https://t.co/csvaidtvwc	1	1	the fact that this criminal agency still exists says it all about americas health and science covid accines cdc covid  the cdc has halted the collection of covid  vaccine adverse events repos through the agencys vsafe page	vaccine	fact criminal agency still exists says americas health science covid accines cdc covid cdc halted collection covid vaccine adverse events repos agencys vsafe page	the fact that this criminal agency still exists says it all about americas health and science covid accines cdc covid  the cdc has halted the collection of covid   adverse events repos through the agencys vsafe page
39	the most impoant information you could share with all those who are suffering from medical issues since getting jabbedhttps://t.co/aai4wc9ybv https://t.co/urnexqdcn4	1	1	the most impoant information you could share with all those who are suffering from medical issues since getting jabbed 	vaccine	impoant information could share suffering medical issues since getting jabbed	the most impoant information you could share with all those who are suffering from medical issues since getting jabbed 
40	to my vaccine injured family ❤️🫂this is just really hard i'm down in the dumps so i gotta remind myself this to https://t.co/gtkf9zxlvp	1	1	to my vaccine injured family this is just really hard im down in the dumps so i gotta remind myself this to 	vaccine	vaccine injured family really hard im dumps gotta remind	to my  injured family this is just really hard im down in the dumps so i gotta remind myself this to 
41	vaccine reaction. https://t.co/h9p7ar2w2f	1	1	vaccine reaction 	vaccine	vaccine reaction	 reaction 
42	» cdc now refusing new covid vaccine adverse event repos in its v-safe program https://t.co/zba0sww31a	1	1	 cdc now refusing new covid vaccine adverse event repos in its vsafe program 	vaccine	cdc refusing new covid vaccine adverse event repos vsafe program	 cdc now refusing new covid  adverse event repos in its vsafe program 
43	彼得·麦卡洛医生：我们现在已经在尸检中证实，100%的情况下是致命的疫苗诱发心肌炎。  dr. peter mccullough：we have now proof positive in autopsies in cases like this 100% of the time it is fatal vaccine induced myocarditis https://t.co/2dmlybonbv	1	1	彼得麦卡洛医生我们现在已经在尸检中证实100的情况下是致命的疫苗诱发心肌炎  dr peter mcculloughwe have now proof positive in autopsies in cases like this 100 of the time it is fatal vaccine induced myocarditis 	vaccine	彼得麦卡洛医生我们现在已经在尸检中证实100的情况下是致命的疫苗诱发心肌炎 dr peter mcculloughwe proof positive autopsies cases like 100 time fatal vaccine induced myocarditis	彼得麦卡洛医生我们现在已经在尸检中证实100的情况下是致命的疫苗诱发心肌炎  dr peter mcculloughwe have now proof positive in autopsies in cases like this 100 of the time it is fatal  induced myocarditis 
44	"""ARKANSAS WILL NOT LOCK DOWN"",-Gov. Sarah Huckabee Sanders-Republican. We need more Governors like Gov. Sanders.#Covid #covid19 #vaccine #Cancer #Arkansas #sarahhuckabeesandershttps://t.co/dJso2n4uII"	1	0	arkansas will not lock downgov sarah huckabee sandersrepublican we need more governors like gov sanderscovid covid  vaccine cancer arkansas sarahhuckabeesanders	vaccine	arkansas lock downgov sarah huckabee sandersrepublican need governors like gov sanderscovid covid vaccine cancer arkansas sarahhuckabeesanders	arkansas will not lock downgov sarah huckabee sandersrepublican we need more governors like gov sanderscovid covid   cancer arkansas sarahhuckabeesanders
45	"""Birx spoke to the ABC News' podcast about why she says the government is living in ""a bit of a fantasy world"" when it comes to the COVID-19 response. Birx also explains why she believes that the next month's vaccine booster is coming weeks too late."" https://t.co/qCgDJiPHby"	1	0	birx spoke to the abc news podcast about why she says the government is living in a bit of a fantasy world when it comes to the covid  response birx also explains why she believes that the next months vaccine booster is coming weeks too late 	vaccine	birx spoke abc news podcast says government living bit fantasy world comes covid response birx also explains believes next months vaccine booster coming weeks late	birx spoke to the abc news podcast about why she says the government is living in a bit of a fantasy world when it comes to the covid  response birx also explains why she believes that the next months  booster is coming weeks too late 
46	"""From community center events to vaccine clinics, the Emerald has assembled a resource guide to help you and your family get the most out of fall. And even better, most options are free, and financial aid is available for those that are not.""https://t.co/IL5o59XAPF"	1	0	from community center events to vaccine clinics the emerald has assembled a resource guide to help you and your family get the most out of fall and even better most options are free and financial aid is available for those that are not	vaccine	community center events vaccine clinics emerald assembled resource guide help family get fall even better options free financial aid available	from community center events to  clinics the emerald has assembled a resource guide to help you and your family get the most out of fall and even better most options are free and financial aid is available for those that are not
47	"""I'll never get a COVID vaccine, my body's healthy and it's all a ploy from the government to control me"" = ""I'll never wear a seatbelt, I'm a professional driver and it's a ploy from the DMVHS to control what I do in my car!!"""	1	0	ill never get a covid vaccine  my bodys healthy and its all a ploy from the government to control me  ill never wear a seatbelt im a professional driver and its a ploy from the dmvhs to control what i do in my car	vaccine	ill never get covid vaccine bodys healthy ploy government control ill never wear seatbelt im professional driver ploy dmvhs control car	ill never get a covid   my bodys healthy and its all a ploy from the government to control me  ill never wear a seatbelt im a professional driver and its a ploy from the dmvhs to control what i do in my car
48	"""Shedding""Doctors are lying to you about 'shedding'.Everyone sheds skin.But what are SOME shedding?ParasitesFungiand now, very clearly, vaccine material with the skin that flies in badly filtered buildings that think they are 'safe'Buildings are NOT safe. .003 HEPA https://t.co/cmw9W7Q5dF"	1	0	sheddingdoctors are lying to you about sheddingeveryone sheds skinbut what are some sheddingparasitesfungiand now very clearly vaccine material with the skin that flies in badly filtered buildings that think they are safebuildings are not safe 003 hepa 	vaccine	sheddingdoctors lying sheddingeveryone sheds skinbut sheddingparasitesfungiand clearly vaccine material skin flies badly filtered buildings think safebuildings safe 003 hepa	sheddingdoctors are lying to you about sheddingeveryone sheds skinbut what are some sheddingparasitesfungiand now very clearly  material with the skin that flies in badly filtered buildings that think they are safebuildings are not safe 003 hepa 
49	"""You can't extend the experience you have with the flu vaccine to this vaccine. ""Biden's comments that all Americans will ""likely"" be advised to get a new #COVID19 vaccine are ""irresponsible,"" according to @DrJBhattacharya. https://t.co/Sp441quohm"	1	0	you cant extend the experience you have with the flu vaccine to this vaccine  bidens comments that all americans will likely be advised to get a new covid  vaccine are irresponsible according to  	vaccine	cant extend experience flu vaccine vaccine bidens comments americans likely advised get new covid vaccine irresponsible according	you cant extend the experience you have with the flu  to this   bidens comments that all americans will likely be advised to get a new covid   are irresponsible according to  
50	#COVID booster warning from Florida surgeon general, who advises people not to get new vaccine https://t.co/1Ts2kCE27V	1	0	covid booster warning from florida surgeon general who advises people not to get new vaccine 	vaccine	covid booster warning florida surgeon general advises people get new vaccine	covid booster warning from florida surgeon general who advises people not to get new  
51	#COVID19 #COVIDー19 #Trump #JoeBiden #AlexJones #maskmandates #Vaccine https://t.co/ytmEkjBIei	1	0	covid  covid 1 trump joebiden alexjones maskmandates vaccine 	vaccine	covid covid 1 trump joebiden alexjones maskmandates vaccine	covid  covid 1 trump joebiden alexjones maskmandates  
52	#FDA #Vaccine #Adviser Says Most #Americans Don't Need Yet Another #COVID -19 #Booster | The Epoch Times https://t.co/69B9LxRMdZ	1	0	fda vaccine adviser says most americans dont need yet another covid 1 booster  the epoch times 	vaccine	fda vaccine adviser says americans dont need yet another covid 1 booster epoch times	fda  adviser says most americans dont need yet another covid 1 booster  the epoch times 
53	#NOVAXDJOKOVIC: Aaron Rodgers Celebrates Novak Djokovic Outlasting COVID Vaccine Mandates to Play in U.S. Open https://t.co/4QZpDa0trm via @BreitbartNews	1	0	novax jokovic aaron rodgers celebrates novak djokovic outlasting covid vaccine mandates to play in us open  via 	vaccine	novax jokovic aaron rodgers celebrates novak djokovic outlasting covid vaccine mandates play us open via	novax jokovic aaron rodgers celebrates novak djokovic outlasting covid  mandates to play in us open  via 
54	#NOVIDBiden Wants Congress to Fund New Coronavirus Vaccine That Can Be Administered to All https://t.co/Ymjd9gQj4s via @BreitbartNews	1	0	novidbiden wants congress to fund new coronavirus vaccine that can be administered to all  via 	vaccine	novidbiden wants congress fund new coronavirus vaccine administered via	novidbiden wants congress to fund new coronavirus  that can be administered to all  via 
55	#SpeakerMcConchy he's going to kids school, Joe Biden, and shaking peoples hands. He coughed in his hands and sneeze, so he can spread Covid again. I have another lockdown a mask, mandate and vaccines and passports proof. Do you took the vaccine we need to impeach him Joe Biden	1	0	speakermcconchy hes going to kids school joe biden and shaking peoples hands he coughed in his hands and sneeze so he can spread covid again i have another lockdown a mask mandate and vaccine  and passpos proof do you took the vaccine we need to impeach him joe biden	vaccine	speakermcconchy hes going kids school joe biden shaking peoples hands coughed hands sneeze spread covid another lockdown mask mandate vaccine passpos proof took vaccine need impeach joe biden	speakermcconchy hes going to kids school joe biden and shaking peoples hands he coughed in his hands and sneeze so he can spread covid again i have another lockdown a mask mandate and   and passpos proof do you took the  we need to impeach him joe biden
56	"$5 billion in all to develop ""NextGen"" vaccines because systemic vaccines, the kind we've always had, can't prevent covid, flu, or other fast-moving respiratory viruseshttps://t.co/GjscNUVOuE"	1	0	5 billion in all to develop nextgen vaccine  because systemic vaccine  the kind weve always had cant prevent covid  flu or other fastmoving respiratory viruses	vaccine	5 billion develop nextgen vaccine systemic vaccine kind weve always cant prevent covid flu fastmoving respiratory viruses	5 billion in all to develop nextgen   because systemic   the kind weve always had cant prevent covid  flu or other fastmoving respiratory viruses
57	$PFE but fresh lows today… ironically there's a new Covid variant and vaccine…	1	0	pfe but fresh lows today ironically theres a new covid variant and vaccine 	vaccine	pfe fresh lows today ironically theres new covid variant vaccine	pfe but fresh lows today ironically theres a new covid variant and  
58	'Americans Be Damned': Rand Paul Goes Ballistic On Senate Floor Over Vaccine, Mask Rules https://t.co/W4e2UpV6EV	1	0	americans be damned rand paul goes ballistic on senate floor over vaccine  mask rules 	vaccine	americans damned rand paul goes ballistic senate floor vaccine mask rules	americans be damned rand paul goes ballistic on senate floor over   mask rules 
59	'Huge' Victory: New York Supreme Court Reinstates 10 Teachers Fired for Refusing COVID Vaccine https://t.co/ub6LkFWcZVhttps://t.co/ub6LkFWcZV	1	0	huge victory new york supreme cou reinstates 10 teachers fired for refusing covid vaccine 	vaccine	huge victory new york supreme cou reinstates 10 teachers fired refusing covid vaccine	huge victory new york supreme cou reinstates 10 teachers fired for refusing covid  
60	'Lack of investment has hindered human clinical trials - Akiko Iwasaki, Ph.D., developed a therapeutic vaccine candidate that may reduce the reactivation of genital herpes in guinea pigs.'  https://t.co/eyQxFn1oL7	1	0	lack of investment has hindered human clinical trials  akiko iwasaki phd developed a therapeutic vaccine candidate that may reduce the reactivation of genital herpes in guinea pigs  	vaccine	lack investment hindered human clinical trials akiko iwasaki phd developed therapeutic vaccine candidate may reduce reactivation genital herpes guinea pigs	lack of investment has hindered human clinical trials  akiko iwasaki phd developed a therapeutic  candidate that may reduce the reactivation of genital herpes in guinea pigs  
61	"12-15-22:  Trento, Italy:""Since 2021, we have witnessed changes in the dominant COVID-19 variant, changes in the vaccine rollout, a shift of the infection rate toward younger age groups, and a massive reduction in the severity and deadliness of COVID-19""https://t.co/1FEEl80SBy https://t.co/2JwJ5wV2Ck"	1	0	121522  trento italysince 2021 we have witnessed changes in the dominant covid  variant changes in the vaccine rollout a shift of the infection rate toward younger age groups and a massive reduction in the severity and deadliness of covid  	vaccine	121522 trento italysince 2021 witnessed changes dominant covid variant changes vaccine rollout shift infection rate toward younger age groups massive reduction severity deadliness covid	121522  trento italysince 2021 we have witnessed changes in the dominant covid  variant changes in the  rollout a shift of the infection rate toward younger age groups and a massive reduction in the severity and deadliness of covid  
62	"9/5/23🛑 #CovidVaccine Contracts Show How #BigPharma 'Held South Africa to Ransom'""We were bullied into unfair and undemocratic terms,"" said one public health campaigner. ""And we must ask: did they do it to other countries, too?""https://t.co/T4etpbQrb9"	1	0	523 covid accine contracts show how bigpharma held south africa to ransomwe were bullied into unfair and undemocratic terms said one public health campaigner and we must ask did they do it to other countries too	vaccine	523 covid accine contracts show bigpharma held south africa ransomwe bullied unfair undemocratic terms said one public health campaigner must ask countries	523 covid accine contracts show how bigpharma held south africa to ransomwe were bullied into unfair and undemocratic terms said one public health campaigner and we must ask did they do it to other countries too
63	@CaliforniaCodes so the XBB1.5 vaccine is coming out. Any advice on vaccine strategy? I'm at 4x Comirnaty Wuhan + once Comirnaty Omicron	1	0	 so the xbb15 vaccine is coming out any advice on vaccine strategy im at 4x comirnaty wuhan  once comirnaty omicron	vaccine	xbb15 vaccine coming advice vaccine strategy im 4x comirnaty wuhan comirnaty omicron	 so the xbb15  is coming out any advice on  strategy im at 4x comirnaty wuhan  once comirnaty omicron
64	@CDCDirector get busy Mandy! My kids are at daycare getting exposed to germs as we speak. Approve the vaccine recommendation now!	1	0	 get busy mandy my kids are at daycare getting exposed to germs as we speak approve the vaccine recommendation now	vaccine	get busy mandy kids daycare getting exposed germs speak approve vaccine recommendation	 get busy mandy my kids are at daycare getting exposed to germs as we speak approve the  recommendation now
65	@DrBiden @GoldbergWhoppi @TheView I'm worried about getting the COVID vaccine.  Do they prevent getting infected?	1	0	   im worried about getting the covid vaccine   do they prevent getting infected	vaccine	im worried getting covid vaccine prevent getting infected	   im worried about getting the covid    do they prevent getting infected
66	@elonmusk I'm not saying corporate news outlets can't report on the availability of amazing new Covid boosters simply because their main investors are one in the same as the Covid vaccine companies, but really, an asterisk with a disclaimer should be involved somewhere.	1	0	 im not saying corporate news outlets cant repo on the availability of amazing new covid boosters simply because their main investors are one in the same as the covid vaccine companies but really an asterisk with a disclaimer should be involved somewhere	vaccine	im saying corporate news outlets cant repo availability amazing new covid boosters simply main investors one covid vaccine companies really asterisk disclaimer involved somewhere	 im not saying corporate news outlets cant repo on the availability of amazing new covid boosters simply because their main investors are one in the same as the covid  companies but really an asterisk with a disclaimer should be involved somewhere
67	@GovAbbott Please convene a special session to end COVID vaccine mandates. https://t.co/eg2EEtCZoB	1	0	 please convene a special session to end covid vaccine mandates 	vaccine	please convene special session end covid vaccine mandates	 please convene a special session to end covid  mandates 
68	@HaroldFordJr 7 vaccine shots and boosters, 3 time Covid award winner and you are going back for more? Sheesh, and I thought you a semi intelligent liberal. Guess I was wrong.	1	0	 7 vaccine shots and boosters 3 time covid award winner and you are going back for more sheesh and i thought you a semi intelligent liberal guess i was wrong	vaccine	7 vaccine shots boosters 3 time covid award winner going back sheesh thought semi intelligent liberal guess wrong	 7  shots and boosters 3 time covid award winner and you are going back for more sheesh and i thought you a semi intelligent liberal guess i was wrong
69	@JoeBiden I  not wear a mask or take a vaccine and you can not make me.  Soon. You will know what it is to be an uprise.  Your done old man	1	0	 i  not wear a mask or take a vaccine and you can not make me  soon you will know what it is to be an uprise  your done old man	vaccine	wear mask take vaccine make soon know uprise done old man	 i  not wear a mask or take a  and you can not make me  soon you will know what it is to be an uprise  your done old man
70	@SpeakerMcCarthy Joe Biden and Kamala Harris said that they would never take the vaccine as long as Trump was involved. Or an office now they push in this s*** You f****** politicians make me sick. You people are so fucking sick you will push anything on the american people	1	0	 joe biden and kamala harris said that they would never take the vaccine as long as trump was involved or an office now they push in this s you f politicians make me sick you people are so fucking sick you will push anything on the american people	vaccine	joe biden kamala harris said would never take vaccine long trump involved office push f politicians make sick people fucking sick push anything american people	 joe biden and kamala harris said that they would never take the  as long as trump was involved or an office now they push in this s you f politicians make me sick you people are so fucking sick you will push anything on the american people
71	@weatherchannel please quit promoting climate change and the covid vaccine. Both are worthless fake topics.	1	0	 please quit promoting climate change and the covid vaccine  both are wohless fake topics	vaccine	please quit promoting climate change covid vaccine wohless fake topics	 please quit promoting climate change and the covid   both are wohless fake topics
72	A flu vaccine can take flu from wild to mild! Flu vaccine is the best way to protect your child and family from getting very sick from flu.Find your dose: https://t.co/KqB1BfGlaO https://t.co/Qdh0leM3ly	1	0	a flu vaccine can take flu from wild to mild flu vaccine is the best way to protect your child and family from getting very sick from flufind your dose  	vaccine	flu vaccine take flu wild mild flu vaccine best way protect child family getting sick flufind dose	a flu  can take flu from wild to mild flu  is the best way to protect your child and family from getting very sick from flufind your dose  
73	A new COVID variant is lurking in the shadows in the USA, and it's Eris (EG.5). Eris is a descendent of the Omicron variant that raged during late 2021-early 2022. #Eris #COVID19 https://t.co/ic1ufyBD92	1	0	a new covid variant is lurking in the shadows in the usa and its eris eg5 eris is a descendent of the omicron variant that raged during late 2021early 2022 eris covid  	vaccine	new covid variant lurking shadows usa eris eg5 eris descendent omicron variant raged late 2021early 2022 eris covid	a new covid variant is lurking in the shadows in the usa and its eris eg5 eris is a descendent of the omicron variant that raged during late 2021early 2022 eris covid  
74	A trial is underway that could be 'the last roll of the dice' for an HIV vaccine this decade https://t.co/woa6CAQf60	1	0	a trial is underway that could be the last roll of the dice for an hiv vaccine this decade 	vaccine	trial underway could last roll dice hiv vaccine decade	a trial is underway that could be the last roll of the dice for an hiv  this decade 
75	A078246 Hunny Bear is a 2-year-old Lab/Treeing Feist Mix. She is heartworm negative and weighs 42 lbs. The adoption fee is $40, which includes her microchip, 5-in-1 vaccine, spay, one-year rabies vaccine, wormer, and the first dose of heartworm/flea preventative. https://t.co/O0jvf5lhHe	1	0	a078246 hunny bear is a 2yearold labtreeing feist mix she is heaworm negative and weighs 42 lbs the adoption fee is 40 which includes her microchip 5in1 vaccine  spay oneyear rabies vaccine  wormer and the first dose of heawormflea preventative 	vaccine	a078246 hunny bear 2yearold labtreeing feist mix heaworm negative weighs 42 lbs adoption fee 40 includes microchip 5in1 vaccine spay oneyear rabies vaccine wormer first dose heawormflea preventative	a078246 hunny bear is a 2yearold labtreeing feist mix she is heaworm negative and weighs 42 lbs the adoption fee is 40 which includes her microchip 5in1   spay oneyear rabies   wormer and the first dose of heawormflea preventative 
76	After decades with no vaccine for RSV, *three* have been approved this year to fight the common virus in vulnerable populations. UT's Jason McLellan (@McLellan_Lab) helped advance the basic science behind these vaccines. For @KUT https://t.co/kGxErXgGnm	1	0	after decades with no vaccine for rsv three have been approved this year to fight the common virus in vulnerable populations uts jason mclellan _lab helped advance the basic science behind these vaccine  for  	vaccine	decades vaccine rsv three approved year fight common virus vulnerable populations uts jason mclellan _lab helped advance basic science behind vaccine	after decades with no  for rsv three have been approved this year to fight the common virus in vulnerable populations uts jason mclellan _lab helped advance the basic science behind these   for  
77	any opinions on if native americans were actually exposed to smallpox via blankets? if not, what happened, if anything? #virus #vaccine	1	0	any opinions on if native americans were actually exposed to smallpox via blankets if not what happened if anything virus vaccine	vaccine	opinions native americans actually exposed smallpox via blankets happened anything virus vaccine	any opinions on if native americans were actually exposed to smallpox via blankets if not what happened if anything virus 
78	As part of National Immunization Awareness Month, Dr. Shillpa Naavaal was recently featured in a Q&amp;A regarding the HPV vaccine. In the interview, Naavaal explains why the HPV vaccination is a simple, effective and important way to prevent cancer. https://t.co/ANQeykLw6n	1	0	as pa of national immunization awareness month dr shillpa naavaal was recently featured in a qa regarding the hpv vaccine  in the interview naavaal explains why the hpv vaccination is a simple effective and impoant way to prevent cancer 	vaccine	pa national immunization awareness month dr shillpa naavaal recently featured qa regarding hpv vaccine interview naavaal explains hpv vaccination simple effective impoant way prevent cancer	as pa of national immunization awareness month dr shillpa naavaal was recently featured in a qa regarding the hpv   in the interview naavaal explains why the hpv vaccination is a simple effective and impoant way to prevent cancer 
79	"Associate Profs @crketel, Kate Clouse &amp; Carrie Plummer &amp; Nashville colleagues published ""Bringing COVID-19 vaccine to medically underserved populations utilizing a community-guided mobile #Vaccine program,"" in the 08/25 issue of Public Health Nursing! https://t.co/gXkIUJZPOS"	1	0	associate profs  kate clouse  carrie plummer  nashville colleagues published bringing covid  vaccine to medically underserved populations utilizing a communityguided mobile vaccine program in the 0825 issue of public health nursing 	vaccine	associate profs kate clouse carrie plummer nashville colleagues published bringing covid vaccine medically underserved populations utilizing communityguided mobile vaccine program 0825 issue public health nursing	associate profs  kate clouse  carrie plummer  nashville colleagues published bringing covid   to medically underserved populations utilizing a communityguided mobile  program in the 0825 issue of public health nursing 
80	August is National Immunization Awareness Month!We want to remind Pennsylvanians of all ages to make sure their vaccine records are up-to-date.Vaccinations are one of the best ways parents can protect their kids from serious childhood diseases. https://t.co/9Df4Qb84eI	1	0	august is national immunization awareness monthwe want to remind pennsylvanians of all ages to make sure their vaccine records are uptodatevaccinations are one of the best ways parents can protect their kids from serious childhood diseases 	vaccine	august national immunization awareness monthwe want remind pennsylvanians ages make sure vaccine records uptodatevaccinations one best ways parents protect kids serious childhood diseases	august is national immunization awareness monthwe want to remind pennsylvanians of all ages to make sure their  records are uptodatevaccinations are one of the best ways parents can protect their kids from serious childhood diseases 
81	B4 it happens please no mandated ANYTHING. With that, why is bill gates talking about a better vaccine. Please stop this money grab b4 it gets to you and your state. Only we can fight imperialism	1	0	b4 it happens please no mandated anything with that why is bill gates talking about a better vaccine  please stop this money grab b4 it gets to you and your state only we can fight imperialism	vaccine	b4 happens please mandated anything bill gates talking better vaccine please stop money grab b4 gets state fight imperialism	b4 it happens please no mandated anything with that why is bill gates talking about a better   please stop this money grab b4 it gets to you and your state only we can fight imperialism
82	Biden plans to ask Congress for funding to develop new COVID vaccine, may require shot for all https://t.co/6gO6rAg3Qe #FoxNews	1	0	biden plans to ask congress for funding to develop new covid vaccine  may require shot for all  foxnews	vaccine	biden plans ask congress funding develop new covid vaccine may require shot foxnews	biden plans to ask congress for funding to develop new covid   may require shot for all  foxnews
83	Biden Urges U.S. Government To Fund Vaccine For Virus U.S. Government Funded https://t.co/MLILlb7Arn	1	0	biden urges us government to fund vaccine for virus us government funded 	vaccine	biden urges us government fund vaccine virus us government funded	biden urges us government to fund  for virus us government funded 
84	BREAKING: Aaron Rogers didn't even get the Covid vaccine and still hurt himself on the field Dr. Joe Rogan blames the media for the injury saying if people didn't make the vaccine such a big deal, he wouldn't have gotten injured. He also blames the climate hoax	1	0	breaking aaron rogers didnt even get the covid vaccine and still hu himself on the field dr joe rogan blames the media for the injury saying if people didnt make the vaccine such a big deal he wouldnt have gotten injured he also blames the climate hoax	vaccine	breaking aaron rogers didnt even get covid vaccine still hu field dr joe rogan blames media injury saying people didnt make vaccine big deal wouldnt gotten injured also blames climate hoax	breaking aaron rogers didnt even get the covid  and still hu himself on the field dr joe rogan blames the media for the injury saying if people didnt make the  such a big deal he wouldnt have gotten injured he also blames the climate hoax
85	Can I use my expired COVID-19 test? Here's how to know#Europe #China #Infections #Britain #CDC #WHO #COVID19 #VirusCrisis #USA #Pandemic #DrAnthonyFauci #Testing #Mandates #Masks #Deaths #Vaccine #Variantshttps://t.co/XVFYHWNcuT	1	0	can i use my expired covid  test heres how to knoweurope china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	vaccine	use expired covid test heres knoweurope china infections britain cdc covid viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	can i use my expired covid  test heres how to knoweurope china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths  variants
