	Text	Vaccine content	Vaccine safety	Filter
54	#novidbiden wants congress to fund new coronavirus vaccine that can be administered to all https://t.co/ymjd9gqj4s via @breitbartnews	1	0	vaccine
55	#speakermcconchy he's going to kids school, joe biden, and shaking peoples hands. he coughed in his hands and sneeze, so he can spread covid again. i have another lockdown a mask, mandate and vaccines and passports proof. do you took the vaccine we need to impeach him joe biden	1	0	vaccine
56	"$5 billion in all to develop ""nextgen"" vaccines because systemic vaccines, the kind we've always had, can't prevent covid, flu, or other fast-moving respiratory viruseshttps://t.co/gjscnuvoue"	1	0	vaccine
57	$pfe but fresh lows today… ironically there's a new covid variant and vaccine…	1	0	vaccine
58	'americans be damned': rand paul goes ballistic on senate floor over vaccine, mask rules https://t.co/w4e2upv6ev	1	0	vaccine
59	'huge' victory: new york supreme court reinstates 10 teachers fired for refusing covid vaccine https://t.co/ub6lkfwczvhttps://t.co/ub6lkfwczv	1	0	vaccine
60	'lack of investment has hindered human clinical trials - akiko iwasaki, ph.d., developed a therapeutic vaccine candidate that may reduce the reactivation of genital herpes in guinea pigs.'  https://t.co/eyqxfn1ol7	1	0	vaccine
61	"12-15-22:  trento, italy:""since 2021, we have witnessed changes in the dominant covid-19 variant, changes in the vaccine rollout, a shift of the infection rate toward younger age groups, and a massive reduction in the severity and deadliness of covid-19""https://t.co/1feel80sby https://t.co/2jwj5wv2ck"	1	0	vaccine
62	"9/5/23🛑 #covidvaccine contracts show how #bigpharma 'held south africa to ransom'""we were bullied into unfair and undemocratic terms,"" said one public health campaigner. ""and we must ask: did they do it to other countries, too?""https://t.co/t4etpbqrb9"	1	0	vaccine
63	@californiacodes so the xbb1.5 vaccine is coming out. any advice on vaccine strategy? i'm at 4x comirnaty wuhan + once comirnaty omicron	1	0	vaccine
64	@cdcdirector get busy mandy! my kids are at daycare getting exposed to germs as we speak. approve the vaccine recommendation now!	1	0	vaccine
65	@drbiden @goldbergwhoppi @theview i'm worried about getting the covid vaccine.  do they prevent getting infected?	1	0	vaccine
66	@elonmusk i'm not saying corporate news outlets can't report on the availability of amazing new covid boosters simply because their main investors are one in the same as the covid vaccine companies, but really, an asterisk with a disclaimer should be involved somewhere.	1	0	vaccine
67	@govabbott please convene a special session to end covid vaccine mandates. https://t.co/eg2eetczob	1	0	vaccine
68	@haroldfordjr 7 vaccine shots and boosters, 3 time covid award winner and you are going back for more? sheesh, and i thought you a semi intelligent liberal. guess i was wrong.	1	0	vaccine
69	@joebiden i  not wear a mask or take a vaccine and you can not make me.  soon. you will know what it is to be an uprise.  your done old man	1	0	vaccine
70	@speakermccarthy joe biden and kamala harris said that they would never take the vaccine as long as trump was involved. or an office now they push in this s*** you f****** politicians make me sick. you people are so fucking sick you will push anything on the american people	1	0	vaccine
71	@weatherchannel please quit promoting climate change and the covid vaccine. both are worthless fake topics.	1	0	vaccine
72	a flu vaccine can take flu from wild to mild! flu vaccine is the best way to protect your child and family from getting very sick from flu.find your dose: https://t.co/kqb1bfglao https://t.co/qdh0lem3ly	1	0	vaccine
73	a new covid variant is lurking in the shadows in the usa, and it's eris (eg.5). eris is a descendent of the omicron variant that raged during late 2021-early 2022. #eris #covid19 https://t.co/ic1ufybd92	1	0	vaccine
74	a trial is underway that could be 'the last roll of the dice' for an hiv vaccine this decade https://t.co/woa6caqf60	1	0	vaccine
75	a078246 hunny bear is a 2-year-old lab/treeing feist mix. she is heartworm negative and weighs 42 lbs. the adoption fee is $40, which includes her microchip, 5-in-1 vaccine, spay, one-year rabies vaccine, wormer, and the first dose of heartworm/flea preventative. https://t.co/o0jvf5lhhe	1	0	vaccine
76	after decades with no vaccine for rsv, *three* have been approved this year to fight the common virus in vulnerable populations. ut's jason mclellan (@mclellan_lab) helped advance the basic science behind these vaccines. for @kut https://t.co/kgxerxggnm	1	0	vaccine
77	any opinions on if native americans were actually exposed to smallpox via blankets? if not, what happened, if anything? #virus #vaccine	1	0	vaccine
78	as part of national immunization awareness month, dr. shillpa naavaal was recently featured in a q&amp;a regarding the hpv vaccine. in the interview, naavaal explains why the hpv vaccination is a simple, effective and important way to prevent cancer. https://t.co/anqeyklw6n	1	0	vaccine
79	"associate profs @crketel, kate clouse &amp; carrie plummer &amp; nashville colleagues published ""bringing covid-19 vaccine to medically underserved populations utilizing a community-guided mobile #vaccine program,"" in the 08/25 issue of public health nursing! https://t.co/gxkiujzpos"	1	0	vaccine
80	august is national immunization awareness month!we want to remind pennsylvanians of all ages to make sure their vaccine records are up-to-date.vaccinations are one of the best ways parents can protect their kids from serious childhood diseases. https://t.co/9df4qb84ei	1	0	vaccine
81	b4 it happens please no mandated anything. with that, why is bill gates talking about a better vaccine. please stop this money grab b4 it gets to you and your state. only we can fight imperialism	1	0	vaccine
82	biden plans to ask congress for funding to develop new covid vaccine, may require shot for all https://t.co/6go6rag3qe #foxnews	1	0	vaccine
83	biden urges u.s. government to fund vaccine for virus u.s. government funded https://t.co/mlillb7arn	1	0	vaccine
84	breaking: aaron rogers didn't even get the covid vaccine and still hurt himself on the field dr. joe rogan blames the media for the injury saying if people didn't make the vaccine such a big deal, he wouldn't have gotten injured. he also blames the climate hoax	1	0	vaccine
85	can i use my expired covid-19 test? here's how to know#europe #china #infections #britain #cdc #who #covid19 #viruscrisis #usa #pandemic #dranthonyfauci #testing #mandates #masks #deaths #vaccine #variantshttps://t.co/xvfyhwncut	1	0	vaccine
86	cdc advisory group meets tomorrow/could see shots as early as end of week but more likely next week fda okays new coronavirus vaccine as respiratory illness season nears https://t.co/tqkaupy5zi	1	0	vaccine
87	cdc, fda gearing up for fall vaccine campaign with us in 'strongest position yet' https://t.co/mhhv3walxw	1	0	vaccine
88	check out this story from usa today: who should get the updated covid-19 vaccine? everyone, fda panel says. studies suggest the new vaccines will work against current variants. the oldest, youngest and people with weakened immune systems will benefit most.https://t.co/c4iejvxk2y	1	0	vaccine
89	"covid-19 cases are creeping back up in chicago. the city is seeing a rise in lab-confirmed cases and emergency room visits. a new vaccine is expected to be ready for the fall season. ""i think it's important to remember that covid's not gone. it's here.""https://t.co/owgdtgl3jz"	1	0	vaccine
90	"data provides proof of the mrna disaster! a ""buried england"" mrna data avalanche has been exposed which means we can now compare the percentage of all-cause death by vaccination status with the percentage of vaccine uptake.https://t.co/bugfrgxx8p"	1	0	vaccine
91	did you recently receive a text message or email from snhd? one dose is a great start, but two doses offer better protection against mpox. get maximum protection by getting your second dose as soon as you can. find a vaccine: https://t.co/zzi71wzhre https://t.co/lhd2hrqtxe	1	0	vaccine
92	discovery  pushing the vaccine ads. their plan is working. who will be their sheep? https://t.co/xiz6b2lsba	1	0	vaccine
93	donald trump defiantly declares 'we will not comply' in response to efforts to reinstate covid lockdowns and mask and vaccine mandates https://t.co/fknmphrebo #gatewaypundit via @gatewaypundit	1	0	vaccine
94	entire city rebels, outlaws mask and vaccine mandates | facts matter https://t.co/qy1uwgcdt4	1	0	vaccine
95	fda authorizes updated covid booster shot the updated vaccine should be available next week. https://t.co/rx3eagx5rc	1	0	vaccine
96	florida surgeon general dr. joseph ladapo warns americans not to take new covid vaccine (video) https://t.co/mgaakeuvlx #gatewaypundit via @gatewaypundit	1	0	vaccine
97	florida's governor desantis supports surgeon general dr. ladapo's caution on new covid vaccines; democrats predict dire consequences.read this story ——————— @ https://t.co/vzhqt3lk4qa news aggregator website - major media#desantis #supports #surgeongeneral #ladapo#vaccine https://t.co/zwfvrhvrxb	1	0	vaccine
98	gezondheidsautoriteit #cdc  geeft toe dat het 99% van de #covid doden vervalste om het publiek zodanig bang te maken dat ze het #vaccine  zouden nemen https://t.co/c7lf0ewh6s via @dezeweekeu https://t.co/hzw3ezjg6v	1	0	vaccine
99	hard to see what it was about that sack that injured @aaronrodgers12 — solid possibility there is either a 5g tower nearby or one of the buffalo bills vaccine shedded all over him.	1	0	vaccine
100	here i give a brief overview of how the updated novavax protein-based vaccine xbb1.5 booster works. the mechanism of immune response action is the same as the prior initial vaccine series, which targeted the ancestral sars-cov-2 virus. https://t.co/edaz077fz9	1	0	vaccine
101	hey @pfizer you can roll that vaccine out straight into your own murderous asses. leave us alone.	1	0	vaccine
102	honestly, i think the vaccine made my ankle stronger…	1	0	vaccine
103	honoring wisdom, embracing protection. if you're a senior or caring for one, safeguard your health and cherished moments by getting the covid-19 vaccine. let's cherish the golden years with an extra layer of security. find yours: https://t.co/rjeqzcss99 or call 832-97-8787. https://t.co/nkuj6o5eps	1	0	vaccine
104	hopefully, more cities will follow this example.  personally, i'm not wearing a mask, nor am i taking a jab.https://t.co/xiualx9cut	1	0	vaccine
105	how does this loser know that it works?!biden asking congress for funding for a 'new' covid vaccine 'that works'https://t.co/gnddllxavp	1	0	vaccine
106	"how is it, the resident wants money for a new vaccine that ""works"", when last week he was pushing the original ""vaccine""? my question is, it works how and cui bono???"	1	0	vaccine
107	https://t.co/1ealso744w...  the vp said we need to reduce population in one of her earlier posts. that's why biden is going to sign an executive order to force americans to take the new vaccine. he intends to murder a large segment of the population in fulfillment of their goals	1	0	vaccine
108	https://t.co/1iuvfj7qnl	1	0	vaccine
109	https://t.co/eqwjxzfcco	1	0	vaccine
110	https://t.co/eyntz8rif8	1	0	vaccine
111	https://t.co/hfalbegx2a	1	0	vaccine
112	https://t.co/hmoyz56gct? the vaccine is killing people d=t&amp;mibextid=fjgbyn	1	0	vaccine
113	https://t.co/hrz4qf90nb	1	0	vaccine
114	https://t.co/qqi255tppj	1	0	vaccine
115	huntington beach city council bans mask, vaccine mandates for covid https://t.co/34tx5kh6pn https://t.co/xar09bm2ti	1	0	vaccine
116	"huntington beach is officially de-faucci.  tells gov to ""pound sand"" on masks and shots!california city votes to ban universal covid-19 mask and vaccine mandateshttps://t.co/sqilmskxuo"	1	0	vaccine
117	i filed 13 amendments to this year's ndaa to make our nation safer and stronger. to name a few:- military personnel who chose to avoid the covid-19 vaccine should be reinstated with backpay- dei activities should not be funded in the armed forces- state sponsors of terrorism	1	0	vaccine
118	i get some of you don't like him but your vaccine jokes aren't funny. just sayin.	1	0	vaccine
119	"i hope y'all immune systems are in order….because your government is releasing a new strain of covid again full blast in a few weeks…and u know what else….a new ""vaccine"" hole u idiots learned something from the last jabs"	1	0	vaccine
120	i'll quit both my jobs and be homeless before i ever take a vaccine and put on a mask	1	0	vaccine
121	i'm seeing a new variant with no vaccine available. 🤣thats a big no for me. mark meadows #smackdown after 1 ashton kansas https://t.co/coixkrcgtt	1	0	vaccine
122	icymi - here's the journal link :) https://t.co/ipxvxntjzf	1	0	vaccine
123	icymi - we have a serious problem in the us that won't be solved unless @robertkennedyjr is put in the position to direct the hhs to reverse course on abject and thorough denialism.  https://t.co/86b9hwmfhj	1	0	vaccine
124	icymi: @hammerandnigel spoke with @senatorbraun  about mask &amp; vaccine mandates, property tax, and more https://t.co/k9boc9amwz	1	0	vaccine
125	if y'all want an alternative to amazon walmart target kroger etc when it comes to healthy lifestyle and not putting chemicals on or in your body and you don't want mrna vaccine induced steak and other meats check out melaleuca and message me for more details. i'll show the site	1	0	vaccine
126	in a single reaction, amplify all 7 immune chains to identify v(d)js in infrequent b and t cells that effectively neutralize pathogens. learn how this technology can advance vaccine development.   https://t.co/j9odetrihl #infectiousdisease #sequencing #vaccines https://t.co/6x8ftj0qsg	1	0	vaccine
127	in the spotlight: respiratory syncytial virus (rsv) is a common respiratory virus that can be serious for infants. recently, the fda approved the first rsv vaccine to help protect against it thanks to research done at cincinnati children's, via @ap: https://t.co/8sfbfykqjx https://t.co/e9jnhwz2hi	1	0	vaccine
128	is it a democracy when biden says he is the government is going to make it manditory for everyone to get the covid vaccine. he is going to require everyone to be clean energy by 2030, which will require most people to do things that they cannot afford. all about government…	1	0	vaccine
129	it's a marxist pledge of loyalty. nothing to do with health. https://t.co/ydgfcwyyiv	1	0	vaccine
130	jfk was really killed by the covid vaccine.  prove me wrong.	1	0	vaccine
131	judge reinstates ny nurse who was terminated over refusing covid-19 vaccine https://t.co/ecgbuc7c4j	1	0	vaccine
132	judge rules teachers can get jobs back with back pay after refusing covid-19 vaccine https://t.co/yxmbwyoslv	1	0	vaccine
133	just a quick reminder to those keeping their eyes on the news today, there is no vaccine for schadenfreude so protect yourself and your loved ones accordingly.	1	0	vaccine
134	leftists dig a memory pit for school vaccine mandates - american thinker https://t.co/vp6w7yxmxp	1	0	vaccine
135	let me guess, we are going to be told bud light is an effective therapy for the new covid variant if coupled with the latest vaccine? https://t.co/0nrws0o2mk	1	0	vaccine
136	many older adults want rsv vaccine, poll showshttps://t.co/ejm4vu0ujq	1	0	vaccine
137	mmh. a memo was released for state agencies letting us know we have access to a warehouse for ppe goods… all of a sudden covid is on the rise again, there's another vaccine being cooked up and recommended? please don't let this shit happen againnnnn.	1	0	vaccine
138	"moderna says updated covid vaccine was effective against highly mutated ba.2.86 variant in trial.fuzzy memory: dr. fauci told us the original vaccine was ""effective"" against the covid 19 ba.1 strain.i hear the pied piper...https://t.co/rohr7eis70"	1	0	vaccine
139	moderna's stock rises by 2% amid increasing covid-19 cases in the u.s. higher vaccine demand and potential booster shots could drive further growth. #moderna #stockmarket https://t.co/g7l7lsufpl	1	0	vaccine
140	more piling on the companies that literally rescued the world from the pandemic.  https://t.co/euibcfnxx9	1	0	vaccine
141	"new #advancinghealth episode: ""vaccine trust in marginalized communities with children's national hospital"" with  claire o'connell boogaard, m.d., @childrensnatl pediatrician and covid-19 vaccine program medical director. listen now: https://t.co/b6qbuszk7o https://t.co/8s0bh6sdj2"	1	0	vaccine
142	new covid vaccine ok'd for people 5-and-older https://t.co/i9kc7wlhil https://t.co/abjjhpmfeh	1	0	vaccine
143	new covid vaccines are on the way. plus, reactions to the @govmlg gun ban include caution from the aclu and @martinheinrich. and, there's more rain in the forecast!! more every weekday from @votergirl https://t.co/4jevptdp7o	1	0	vaccine
144	new interview with @drshannonkroner !https://t.co/josum9mpcz#sociallyawkward #podcast #comedy #comedian #spotify #applepodcasts #vaccines #covid #vaccine #coronavirus #health #agenda #vaccination #wakeup #science #pandemic #trump #healthcare #truth #medicine #bigpharma https://t.co/kxxk9qmiql	1	0	vaccine
145	no matter how bad things get at least i didn't get the vaccine.	1	0	vaccine
146	no! the cdc never said that! once again, x (twitter) is allowing lies to spread. cdc says vaccinated americans have higher risk of infection than unvaccinated? https://t.co/z6l8fxl5oe	1	0	vaccine
147	"not one person on the planet has given me any evidence that the covid vaccine is effective in any way. the ""it would have been worse"" argument is just about the dumbest thing i have ever heard. it is something a toddler would say.pushing this vaccine on infants is nothing short…"	1	0	vaccine
148	"of course @govrondesantisdoesn't want to lose his top 3 spot in ""who killed more residents than any other""! his recklessness and stupidity is unsurpassed when it comes to ignorant and murderous covid responses. good luck fl more deaths coming! https://t.co/wjrcpd7l09"	1	0	vaccine
149	official flu vaccine recommendations for the 2023-2024 flu season were published today in cdc's mmwr. a flu vaccine is waiting for you this fall. more here: https://t.co/2bjtehgkie https://t.co/iimrtmgtoo	1	0	vaccine
150	"person next to me @cvshealth asking if she can get another booster because she got covid again recently.  said she's had 4, np even looked at her crazy said ""i don't think they recommend another"" lady literally replied, ""what other vaccine can i get, flu?"""	1	0	vaccine
151	pfizer's own trials showed a 24% greater likelihood of dying in the vaccine group after 6 months https://t.co/m60lslv8b5	1	0	vaccine
152	psa walgreens will have a new updated covid vaccine in mid september	1	0	vaccine
153	remember back when biden said if you got the vaccine, you won't even get covid??? waiting for them to say now... ohhhh you need this new vaccine for this new strain. watch https://t.co/h4x4lmieqq	1	0	vaccine
154	remember when they told us what would happen with antibody dependent enhancement then it did? pray for those who took the vaccine. it's going to be a rough year for them: https://t.co/vffsn1khd9	1	0	vaccine
155	remember, during the pandemic trump administration gave the american people a choice on the vaccine, it was never mandated. the biden administration is the dictator that mandates which is totally illegal and against our constitutional rights. didn't he swear to uphold the…	1	0	vaccine
156	"remembering jimmy buffett's final performance at blossom music center…he left his fans with a simple message, ""get the vaccine and get america going again.""   https://t.co/edtrx5sr2k"	1	0	vaccine
157	researchers create aerosolized mrna covid vaccine｜facts matter https://t.co/meeqkm0p1n via @epochtimes	1	0	vaccine
158	so let's see. the doctor who conducted my interview last night for my *checks notes* government health insurance went on for about 10 minutes on how pointless the covid vaccine is. complete psychos in this state.	1	0	vaccine
159	so when a person gets vaccinated, you do not get the ailments of a virus or disease. that's the point of a vax. covid shot does not work! joe rogan and bill maher say claim covid-19 vaccine was 100% effective was 'crazy' | washington examiner https://t.co/f7pv0knify	1	0	vaccine
160	stay informed on the latest developments for dog vaccine studies at https://t.co/zeofwnl3b3 https://t.co/hx6jhqwbjd	1	0	vaccine
161	student health services is hosting albertsons pharmacy flu vaccine clinic today from 9 a.m. - 12 p.m. in the commons area on the santa maria campus. available to students, faculty and staff! bring your insurance information and a copy of your consent form to your appointment. https://t.co/x09qwmbaly	1	0	vaccine
162	study shows that the #covidvaccines do more harm than good. vaccines do not prevent hospitalization; and vaccinated people are more likely to get #covid. humetrix cloud services was contracted by the u.s. military to analyze vaccine data.	1	0	vaccine
163	sudents are required to get their flu vaccine by september 15th! haven't got yours yet? stop by our flu clinics on september 13th!chapel hill (beard 200, 4-6 pm): appointments full, walk-ins will be accommodated as able.asheville (karpen 105, 12-1 pm): https://t.co/8xjlgzhbii https://t.co/v81nmoifx5	1	0	vaccine
164	the fast-spreading new covid-19 subvariant xbb is part of a 'new class' of omicron #europe #china #infections #britain #cdc #who #covid19 #viruscrisis #usa #pandemic #dranthonyfauci #testing #mandates #masks #deaths #vaccine #variantshttps://t.co/ag4qzkusw6	1	0	vaccine
165	the fda has approved the first vaccine administered during pregnancy to prevent rsv in infants. https://t.co/2pv0xg5nuh	1	0	vaccine
166	the food and drug administration approved a reformulated coronavirus vaccine targeting an omicron subvariant. injections could be available in pharmacies, clinics and doctor's offices by the end of the week.https://t.co/ub3hynyljq https://t.co/qfdomjywpn	1	0	vaccine
167	"the key word here is ""effective."" if its as effective as the last vaxxes against covid, we'll have many more 1000s of pages of studies reporting vaxx injuries and deaths. can't wait...updated moderna shot effective against new variant https://t.co/ob3d5g7xxo"	1	0	vaccine
168	the mask and vaccine haven't prevented covid. their only effectiveness seems to be the prevention of fair elections.	1	0	vaccine
169	the same people who told me the vaccine blocked transmission are now telling me the economy is booming and i'm too dumb to know it	1	0	vaccine
170	the vaccine was ultimately an iq test.	1	0	vaccine
171	the who said it will take up the european union's digital covid-19 vaccine passport framework as part of a new global network of digital health certificates./1	1	0	vaccine
172	there is still time to plan on attending friday's back to school vaccine clinic at the butler county educational service center from 12 pm - 4 pm https://t.co/vlqavh2mrd	1	0	vaccine
173	they are coming again - trump . former us president donald trump on new covid variant &amp; vaccine &amp; criticised joe biden governmenthttps://t.co/dx0s0v8nla	1	0	vaccine
174	they say that society needs a 'dumb underclass' to function properly. here ya go! @rutgersu will require masks and covid vaccine this fall. 😫 #wednesdaythought https://t.co/zhqjkf8nfr	1	0	vaccine
175	"this young man gives us hope... he tells fauci &amp; biden exactly where they can stick it...""covid-19, the pandemic it's over. we don't care anymore. the people who wanted the vaccine, they already got it. the people who don't want the vaccine, we're still not going to get it,… https://t.co/blhdqdtxbp"	1	0	vaccine
176	to every covid tyrant who wants to take away our freedom, hear these words: we will not comply, so don't even think about it. we will not shut down our schools; we will not accept your lockdowns; we will not abide by your mask mandates; and we will not accept your vaccine mandate	1	0	vaccine
177	up first: as the 2023-24 school year starts to get underway, we look at what a recent uptick in covid cases means for in-person education, with @danielgriffinmd. plus, the latest on that uptick, vaccine boosters and new variants. listen live on @wnyc https://t.co/20nqjvnfgm	1	0	vaccine
178	updated covid-19 vaccines are coming mid-september, officials say #europe #china #infections #britain #cdc #who #covid19 #viruscrisis #usa #pandemic #dranthonyfauci #testing #mandates #masks #deaths #vaccine #variantshttps://t.co/kifxptfa3z	1	0	vaccine
179	vaxess is collaborating with astrazeneca for the evaluation of an rna-based pandemic influenza prototype vaccine in patch format. through the collaboration, vaxess could receive up to $10.3 million. read more about today's news in @endpts —https://t.co/oh7exdyvvb	1	0	vaccine
180	veterans - important information about covid vaccine availability. https://t.co/4kb2kaxbkb	1	0	vaccine
181	want to explore the paths towards a vaccine for hepatitis c?we have a virtual symposium with @nih on controlled human infection models for #hepc vaccine development next month (sept 14 at 10 am et)register here: https://t.co/nut3c7bixm https://t.co/0kk2phnikj	1	0	vaccine
182	we really need a vaccine to protect us from that really awful strain of attention seeing philosophers. not ordinary philosophers going about their philosophy business. you know the type i mean.	1	0	vaccine
183	we really need to develop a vaccine for stupidity. rabies is almost always fatal in both humans and animals once clinical signs appear. a drop in rabies vaccinations could spell a serious public health threat. https://t.co/pllh7twld8 via @business	1	0	vaccine
184	what to know about the new covid vaccine booster shots that are on the way.  https://t.co/vfk9eccspa	1	0	vaccine
185	when your mum watches red, white, and royal blue and then texts to ask if you're on truvada and have had an hpv vaccine 🫥 https://t.co/1qyqdhryrs	1	0	vaccine
186	who remembers the newark equitable vaccine initiative launch event!? 🙋🏿‍♀️ we're still so honored to have hosted something so critically important alongside @rockefellerfdn @medinacitifirm and @uwgreaternewark! #flashbackfriday https://t.co/i9ou6aikhi	1	0	vaccine
187	why only dogs can get a lyme vaccine — and when that will change - bloomberg businessweek https://t.co/kaoujx65xs	1	0	vaccine
188	why we didn't get a malaria vaccine sooner - works in progress https://t.co/i3ds57wv7c	1	0	vaccine
189	wow @keyshawn is embarrassing himself talking about @aaronrodgers12 and the vaccine right now on @undisputedclip coming soon	1	0	vaccine
190	ya allah tangan aku sakit lagi ni sebab vaccine patu baby ni pergi pukulgila	1	0	vaccine
191	新冠疫情更新：在疫苗资金争议中重新强制人们戴口罩covid updates: renewed mask mandates amidst vaccine funding controversies https://t.co/gjmineczgh	1	0	vaccine
192	👏👏👏now keep it going for every other employee who lost their job for refusing the jab!!https://t.co/tjvrnmsnxw	1	0	vaccine
193	💥👇doctors believe vaccine-autism questions should be investigatedhttps://t.co/13lqpt1xid	1	0	vaccine
194	📢 it's time to break the barriers! today, we're raising awareness about the importance of the meningitis b vaccine. let's protect our community against this serious disease. 💪🏾 #meningitisbvaccine #breakbarriers #vaxunited #immunizationmonth https://t.co/kfux5j6114	1	0	vaccine
195	🚨breaking: arkansas has banned mask mandates and lockdowns from being re-implemented. do you support this? https://t.co/ic3he1ethr	1	0	vaccine
0	"""long vax"" (coronavirus vaccine-induced injury) starting to make inroads in the medical community #mecfs #longcovid https://t.co/id1wqpk6le"	1	1	vax
1	"""persistent symptoms after vaccination -- sometimes called 'long vax' -- are similar to those reported with long covid, including small-fiber neuropathy and postural orthostatic tachycardia syndrome (pots).""  https://t.co/ffpqgtycfy"	1	1	vax
2	"""too big to hide"" - ed dowd slams covid vax injuries ""cover-up... it's a crime""https://t.co/ouilhqxalw the @wef, @profklausschwab, @harari_yuval ... all know society is breaking down. they wait until we can longer resist their depopulation and their tyranny. https://t.co/u3f19o4wq9"	1	1	vax
3	"1-@pizzapicklespur if you look into antiphospholipid syndrome -&gt; aps, a lot of long covid and vax injured people are getting this. i have a friend who has it for yrs. she says ""warfarin only""  she said most rheumies and hemo docs aren't knowledgeable.https://t.co/xfxwwefygi"	1	1	vax
4	"@govofco &amp; @cdphe &amp; @uchealth policies &amp; actions for ""2-wks"" (over 3-yrs) ""ordered"" coloradoans:- restrict hospital visitors- remdesivir murder protocol- test doesn't test for ""covid""- vax is poisonwe do not submit to tyranny.https://t.co/8rlry5bvap #tyrannyisterrorism https://t.co/selialhx2r"	1	1	vax
5	"@stkirsch ""cause unknown"": the epidemic of sudden deaths in 2021 &amp; 2022 (children's health defense) https://t.co/phi2cctt8q""too big to hide"" - ed dowd slams covid vax injuries ""cover-up... it's a crime""https://t.co/ouilhqxalw https://t.co/nrwkm18pxv"	1	1	vax
6	"act now! my special podcast and rumble guest nick caturano on disney lawsuit, florida's ""ban the jab"" mandates, and getting the vax injured better - what is your state doing?, by @therebelpatient #nickcaturano #mandates #medicalfreedom #disney #vaxinjury #god #ethics…"	1	1	vax
7	another vax death??  just in: new jersey democratic lieutenant governor dies suddenly at age 71 – was previously rushed to hospital for 'undisclosed medical issue' https://t.co/cvc7sdqibv #gatewaypundit via @gatewaypundit	1	1	vax
8	covid vax is a bioweapon!  #tiktok https://t.co/uyk7afvtoj	1	1	vax
9	"cv19 vax is a crime &amp; coverup – ed dowd""they are killing people. they continue to mandate these jabs at some universities. some employers still mandate them.this is a crime. this is a coverup, and it's murder at this point."" https://t.co/okff0gvh7l"	1	1	vax
10	https://t.co/5afuqwbdcy	1	1	vax
11	https://t.co/ofbtuo6fyu	1	1	vax
12	https://t.co/ta66pgvbwc	1	1	vax
13	https://t.co/th4fvjz60a	1	1	vax
14	i am starting to become skeptical of drs and their eugenic ways . you give me a vax with a spike protein and you are ignoring that factor ,and still giving it to patients  is it really safe and effective ?	1	1	vax
15	i have been recovering from a combination of long covid and flu vax injury, and i wanted to share some encouragement for those who are struggling with challenging illnesses. check out my most recent vlog. #vaccineinjuries #longcovid #healingjourneyhttps://t.co/qb0qayenw4	1	1	vax
16	i have learned through this account that people have a lot of tolerance for suggesting the vax was a deliberate genocide but if you so much as say that trans women are not real women and the access they want to your children is weird and creepy you'll get unfollowed by the drove	1	1	vax
17	if i had good experiences with dr.'s and meds they doled out, wasn't booted off kaiser i'd still be a customer of the medical industrial complex.it's useless info to say to those seriously struggling the vax has a 2 or even 5% chance of serious harm, it's their only hope.	1	1	vax
18	il finto vax cause effetto https://t.co/s6d0ajlmcu	1	1	vax
19	just received another heartbreaking phone call from a long time friend who lost his only son (22 years young) to vax injury. how long before those responsible will be held to answer for their crimes?justice? https://t.co/qkab5czvjj	1	1	vax
20	"likely another vax death! no - we don't know for sure. but they won't tell us and it's ""undisclosed "". the doc knows. somebody knows. if they released the data - we would all know! @stkirsch https://t.co/6phukzcp0s"	1	1	vax
21	no big deal at all. only one and 35 people who got the moderno vax have myocarditis it's fine.  now shut up and roll up your sleeves for your booster like a good little matrix slave. https://t.co/obtlkeglof	1	1	vax
22	no one will ever be held accountable for the killer shots, and they're just planning to force you again until they've taken enough people out. even flu vax this year will be mrna.	1	1	vax
23	receive hope and healing from some of the most trusted names in healthcare in the world and two vax injury victims with this free event. https://t.co/iap6yg1jyp #hopeisfuel #hopeisfuelnow #rehumanize @briannedressen @jsutta  @react19org https://t.co/ogzzu1tvgz	1	1	vax
24	shows importance of investigations into whether or not # covidvaccines could be the cause of death. families should search for vax records and come forward.https://t.co/lsjcunanjc	1	1	vax
25	topics tonight to start #spacejamdigi.how you found jesus ?.punisher threads......latest news.family injuries from vax.get it off your chest.see you tonight 12:30 am https://t.co/rnxx9b9xq7	1	1	vax
26	up next, these last couple years post magical covid vax have sure been blood clotty and heart attacky…weird…@p_mcculloughmd joins me with the truth https://t.co/6qebvy1szg	1	1	vax
27	we can't emphasize this enough: the study's authors found that both vaccines were safe to use.https://t.co/didu5esiee	1	1	vax
28	"what is described is a massive cover-up of death and injury from the covid vaccine. never mindlessly follow the government and its paid off ""experts.""https://t.co/lcxusasznq"	1	1	vax
29	with the number of myocarditis and pericarditis cases rising exponentially, i wonder how many other players are going to get cut or if the nfl and teams will suppress the information that more players are diagnosed with dangerous side effects from the you know what? #nfl #vax https://t.co/sjlyyrogkj	1	1	vax
30	you notice how they are trying to deflect with the vax injuries due to extreme heat. wait &amp; see what they try to pull next...this is how they will justify it. #climatechangehoax #deathjab #globalistscum https://t.co/q2yestysgx	1	1	vax
31	🧵landed in the er again last night (7th time since vax#2) when my heart went into afib - went up to 175 bpm and felt like it was flopping all over my chest...for hours. they took me back immediately and put monitors on me and tried to kick it back into gear...	1	1	vax
