	Content	Vaccine content	Vaccine safety	date	text_clean	Filter	text_wo_filter_word
1271	US Open negli USA, Nazione  più imperialista al mondo. Sponsor MODERNA, produttore di vaccini.Al primo posto, un russo o un non vaccinato.Sarà un successo per le genti libere e una sconfitta per i servi.Ma noi siamo persone equilibrate e sobrie, rimarremo composti e moderati. https://t.co/QKqRjR4IFN	1.0	0.0	2023-09-09 23:50	us open negli usa nazione  più imperialista al mondo sponsor moderna produttore di vaccinial primo posto un russo o un non vaccinatosarà un successo per le genti libere e una sconfitta per i servima noi siamo persone equilibrate e sobrie rimarremo composti e moderati 	vaccinato	us open negli usa nazione  più imperialista al mondo sponsor moderna produttore di vaccinial primo posto un russo o un non sarà un successo per le genti libere e una sconfitta per i servima noi siamo persone equilibrate e sobrie rimarremo composti e moderati 
1310	Finale US Open 2023.Un serbo non vaccinato contro un atleta colpevole di essere russo.La nuova sfida è tra due discriminati.I VINCENTI SONO DUE DISCRIMINATI.	1.0	0.0	2023-09-10 5:38	finale us open un serbo non vaccinato contro un atleta colpevole di essere russola nuova sfida è tra due discriminatii vincenti sono due discriminati	vaccinato	finale us open un serbo non  contro un atleta colpevole di essere russola nuova sfida è tra due discriminatii vincenti sono due discriminati
1322	"@Livythinker anche Cacciari si era""venduto"".La contraddizione tra il non voler dichiarare di essersi vaccinato davanti alla Gruber e l'ammissione,nella puntata successiva, di averlo fatto,ma di ""rispettare la libera scelta"", e' una incongruenza.Se lo avesse fatto lo avrebbe dichiarato subito"	1.0	0.0	2023-09-10 6:22	 anche cacciari si eravendutola contraddizione tra il non voler dichiarare di essersi vaccinato davanti alla gruber e lammissionenella puntata successiva di averlo fattoma di rispettare la libera scelta e una incongruenzase lo avesse fatto lo avrebbe dichiarato subito	vaccinato	 anche cacciari si eravendutola contraddizione tra il non voler dichiarare di essersi  davanti alla gruber e lammissionenella puntata successiva di averlo fattoma di rispettare la libera scelta e una incongruenzase lo avesse fatto lo avrebbe dichiarato subito
1366	"Capolavoro di Open: ""Borghi pubblicizza una iniziativa no vax"" (* ovvero un convegno sulle persone danneggiate dal vaccino) Quindi per ""no vax"" si intende chiunque, anche vaccinato, osi lamentarsi del trattamento miracolosohttps://t.co/Y1nBnxRIK2"	1.0	0.0	2023-09-10 9:07	capolavoro di open borghi pubblicizza una iniziativa no vax   ovvero un convegno sulle persone danneggiate dal vaccino quindi per no vax  si intende chiunque anche vaccinato osi lamentarsi del trattamento miracoloso	vaccinato	capolavoro di open borghi pubblicizza una iniziativa no vax   ovvero un convegno sulle persone danneggiate dal vaccino quindi per no vax  si intende chiunque anche  osi lamentarsi del trattamento miracoloso
1409	Nella passata emergenza ho fatto tutto quello che lo #Stato mi ha ordinato: mi sono #vaccinato convintamente; ho indossato quelle fottute #mascherine anche nel cesso di casa mia; sono rimasto in casa quando mi hanno obbligato a farlo. Questa volta mi faccio arrestare.#Covid	1.0	0.0	2023-09-10 12:53	nella passata emergenza ho fatto tutto quello che lo stato mi ha ordinato mi sono vaccinato convintamente ho indossato quelle fottute mascherine anche nel cesso di casa mia sono rimasto in casa quando mi hanno obbligato a farlo questa volta mi faccio arrestarecovid	vaccinato	nella passata emergenza ho fatto tutto quello che lo stato mi ha ordinato mi sono  convintamente ho indossato quelle fottute mascherine anche nel cesso di casa mia sono rimasto in casa quando mi hanno obbligato a farlo questa volta mi faccio arrestarecovid
1453	Chiedo una cosa ai non vaccinati, non scrivo novax perché mi da fastidio, pensate interessi a qualche vaccinato il vostro parere?	1.0	0.0	2023-09-10 20:32	chiedo una cosa ai non vaccinati non scrivo novax perché mi da fastidio pensate interessi a qualche vaccinato il vostro parere	vaccinato	chiedo una cosa ai non vaccinati non scrivo novax perché mi da fastidio pensate interessi a qualche  il vostro parere
1480	@RobertoBurioni XXIV SLAM PER @DiokerNole_pvt . Burioni non parla più! P.S.: io sono vaccinato. Ma non stupido. https://t.co/IULOxVjzQD	1.0	0.0	2023-09-10 23:40	 xxiv slam per   burioni non parla più ps io sono vaccinato ma non stupido 	vaccinato	 xxiv slam per   burioni non parla più ps io sono  ma non stupido 
1481	Ditelo a Burioni Bassetti e a tutti i ciarlatani che @DjokerNole  non si è vaccinato, non è morto ed ha vinto un altro torneo dello slam! #tennis #campione #numerouno	1.0	1.0	2023-09-10 23:47	ditelo a burioni bassetti e a tutti i ciarlatani che   non si è vaccinato non è moo ed ha vinto un altro torneo dello slam tennis campione numerouno	vaccinato	ditelo a burioni bassetti e a tutti i ciarlatani che   non si è  non è moo ed ha vinto un altro torneo dello slam tennis campione numerouno
1482	#Djokovic un defunto ( in quanto non vaccinato ) che vince 3 slam su 4 è sicuramente opera del demonio Vade retro Satana , Madonnina proteggici https://t.co/1mR1SLaCbm	1.0	0.0	2023-09-10 23:55	djokovic un defunto  in quanto non vaccinato  che vince  slam su  è sicuramente opera del demonio vade retro satana  madonnina proteggici 	vaccinato	djokovic un defunto  in quanto non   che vince  slam su  è sicuramente opera del demonio vade retro satana  madonnina proteggici 
1484	New York New York#USOpenUn serbo non vaccinato, insultato da tanti moralisti per due anni Un Russo che non poteva portare la bandiera, ma guardate la maglietta Lo sport, bellissimo, supera le divisioni e le discriminazioni costruite in questi ultimi anni di pandemia/guerra https://t.co/bT0BqZmJ9g	1.0	0.0	2023-09-11 0:03	new york new yorkusopenun serbo non vaccinato insultato da tanti moralisti per due anni un russo che non poteva poare la bandiera ma guardate la maglietta lo spo bellissimo supera le divisioni e le discriminazioni costruite in questi ultimi anni di pandemiaguerra 	vaccinato	new york new yorkusopenun serbo non  insultato da tanti moralisti per due anni un russo che non poteva poare la bandiera ma guardate la maglietta lo spo bellissimo supera le divisioni e le discriminazioni costruite in questi ultimi anni di pandemiaguerra 
1485	A me che #Djokovic non sia vaccinato Covid non frega niente. A me frega che non si conformi a un sistema idiota, ipocrita, finto che non ha il coraggio di imporre un vaccino, ma ti mostrifica se non te lo fai, che bandisce dallo sport una bandiera per le nostre stesse aggressioni	1.0	0.0	2023-09-11 0:08	a me che djokovic non sia vaccinato covid non frega niente a me frega che non si conformi a un sistema idiota ipocrita finto che non ha il coraggio di imporre un vaccino ma ti mostrifica se non te lo fai che bandisce dallo spo una bandiera per le nostre stesse aggressioni	vaccinato	a me che djokovic non sia  covid non frega niente a me frega che non si conformi a un sistema idiota ipocrita finto che non ha il coraggio di imporre un vaccino ma ti mostrifica se non te lo fai che bandisce dallo spo una bandiera per le nostre stesse aggressioni
1489	Ma, dico io, si può essere così cretini da credere che Djokovic vince perché non si è vaccinato? Allora, per diventare dei campioni, basta non vaccinarsi?	1.0	0.0	2023-09-11 1:32	ma dico io si può essere così cretini da credere che djokovic vince perché non si è vaccinato allora per diventare dei campioni basta non vaccinarsi	vaccinato	ma dico io si può essere così cretini da credere che djokovic vince perché non si è  allora per diventare dei campioni basta non vaccinarsi
1493	Oramai non ci sono definizioni umane per @DjokerNole 24 titoli dello Slam vinti in carriera a 37 anni una carriera che macina record di settimana in settimana pensare se non fosse stato escluso in Australia e in America negli scorsi anni essendo non vaccinato sarebbe a 30 Slam https://t.co/b7uzZx9zoX	1.0	0.0	2023-09-11 3:13	oramai non ci sono definizioni umane per   titoli dello slam vinti in carriera a  anni una carriera che macina record di settimana in settimana pensare se non fosse stato escluso in australia e in america negli scorsi anni essendo non vaccinato sarebbe a  slam 	vaccinato	oramai non ci sono definizioni umane per   titoli dello slam vinti in carriera a  anni una carriera che macina record di settimana in settimana pensare se non fosse stato escluso in australia e in america negli scorsi anni essendo non  sarebbe a  slam 
1494	Da #Non #Vaccinato, Non solo #Non e' #Morto ma ha #Vinto anche gli #USOpen. #Djokovic conquista il 24° #Slam!https://t.co/VnIzxuc4iX https://t.co/anIoyKaomr	1.0	0.0	2023-09-11 3:32	da non vaccinato non solo non e moo ma ha vinto anche gli usopen djokovic conquista il  slam 	vaccinato	da non  non solo non e moo ma ha vinto anche gli usopen djokovic conquista il  slam 
1498	Se solo Djokovic si fosse vaccinato, oggi sarebbe ancora un tennista di buon livello e non una persona malata che non riesce più a vincere un set.Peccato.	1.0	0.0	2023-09-11 4:41	se solo djokovic si fosse vaccinato oggi sarebbe ancora un tennista di buon livello e non una persona malata che non riesce più a vincere un setpeccato	vaccinato	se solo djokovic si fosse  oggi sarebbe ancora un tennista di buon livello e non una persona malata che non riesce più a vincere un setpeccato
1503	"Moderna ""shot of the day"" sul canale televisivo ESPN mostra la vittoria del non vaccinato Novax Djokovic.L'ironia della sorte https://t.co/OfKTnTu4MP"	1.0	0.0	2023-09-11 5:14	moderna shot of the day sul canale televisivo espn mostra la vittoria del non vaccinato novax djokoviclironia della soe 	vaccinato	moderna shot of the day sul canale televisivo espn mostra la vittoria del non  novax djokoviclironia della soe 
1510	Mitologico #DjokovicA 36 anni dopo una breve pausa di 2 mesi torna ad essere il n. 1???? proprio in quell'#USOpen che per 2 anni lo aveva escluso dai giochi per non essersi vaccinato ???? https://t.co/0R1YdqAe0i	1.0	0.0	2023-09-11 5:43	mitologico djokovica  anni dopo una breve pausa di  mesi torna ad essere il n  proprio in quellusopen che per  anni lo aveva escluso dai giochi per non essersi vaccinato  	vaccinato	mitologico djokovica  anni dopo una breve pausa di  mesi torna ad essere il n  proprio in quellusopen che per  anni lo aveva escluso dai giochi per non essersi   
1523	Se @DjokerNole si fosse vaccinato avrebbe vinto di più.	1.0	0.0	2023-09-11 6:23	se  si fosse vaccinato avrebbe vinto di più	vaccinato	se  si fosse  avrebbe vinto di più
1537	Tutti quelli che hanno come eroe #Djokovic non come meraviglioso atleta ma come non vaccinato, vi ricordo che questo signore non ha bisogno di vaccini proprio perché un super atleta, controllato e monitorato in ogni suo minuto voi manco il medico di base avete mai visto!	1.0	0.0	2023-09-11 7:40	tutti quelli che hanno come eroe djokovic non come meraviglioso atleta ma come non vaccinato vi ricordo che questo signore non ha bisogno di vaccini proprio perché un super atleta controllato e monitorato in ogni suo minuto voi manco il medico di base avete mai visto	vaccinato	tutti quelli che hanno come eroe djokovic non come meraviglioso atleta ma come non  vi ricordo che questo signore non ha bisogno di vaccini proprio perché un super atleta controllato e monitorato in ogni suo minuto voi manco il medico di base avete mai visto
1549	"Allora: Nole era prima un ""nemico"" perché non aveva mai dichiarato se si era vaccinato o no e quindi andava escluso da competizioni. Oggi il ""nemico"" è il russo e Nole un eroe perché ha sconfitto il ""nemico"". @repubblica, vi pare questa informazione? A me pare campagna politica https://t.co/rAlSfGhQ4A"	1.0	0.0	2023-09-11 9:00	allora nole era prima un nemico perché non aveva mai dichiarato se si era vaccinato o no e quindi andava escluso da competizioni oggi il nemico è il russo e nole un eroe perché ha sconfitto il nemico  vi pare questa informazione a me pare campagna politica 	vaccinato	allora nole era prima un nemico perché non aveva mai dichiarato se si era  o no e quindi andava escluso da competizioni oggi il nemico è il russo e nole un eroe perché ha sconfitto il nemico  vi pare questa informazione a me pare campagna politica 
1570	Un Serbo escluso perché  non vaccinato,un Russo escluso perché Russo, tutto in finale agli USOPEN.Voglio il nome del regista...https://t.co/B8MR0sxFpF	1.0	0.0	2023-09-11 10:40	un serbo escluso perché  non vaccinatoun russo escluso perché russo tutto in finale agli usopenvoglio il nome del regista	vaccinato	un serbo escluso perché  non un russo escluso perché russo tutto in finale agli usopenvoglio il nome del regista
1603	Mi sono vaccinato, rivaccinato e ririvaccinato. Ho rispettato le regole. Ora basta, se siete fobici, curatevi.	1.0	0.0	2023-09-11 12:50	mi sono vaccinato rivaccinato e ririvaccinato ho rispettato le regole ora basta se siete fobici curatevi	vaccinato	mi sono  ri e riri ho rispettato le regole ora basta se siete fobici curatevi
1636	..della serie: #NessunaCorrelazione Era vaccinato  ovviamente È morto #DomenicoDeMasi, aveva scoperto da meno di un mese di essere gravemente malato  https://t.co/Ei3xK28Mby	1.0	1.0	2023-09-11 15:33	della serie nessunacorrelazione era vaccinato  ovviamente è moo domenicodemasi aveva scopeo da meno di un mese di essere gravemente malato  	vaccinato	della serie nessunacorrelazione era   ovviamente è moo domenicodemasi aveva scopeo da meno di un mese di essere gravemente malato  
1640	Ma basta con 'sti vaccini!!! Ancora c'è chi ha da ridire su chi si è vaccinato.Non vi siete vaccinati? Ok!'Mo basta però!!	1.0	0.0	2023-09-11 15:54	ma basta con sti vaccini ancora cè chi ha da ridire su chi si è vaccinatonon vi siete vaccinati okmo basta però	vaccinato	ma basta con sti vaccini ancora cè chi ha da ridire su chi si è non vi siete vaccinati okmo basta però
1709	#Djokovic ha fatto la storia vincendo 26 Slam e non piegandosi a nessun ricatto:unico giocatore #USOpen non vaccinato.Una domanda mi sorge spontanea: chi cavolo è Selvaggia Lucarelli? E' un nome d'arte da OnlyFans? Ma soprattutto, non gli conveniva cancellare questo tweet? https://t.co/isdR2BsaJS	1.0	0.0	2023-09-12 6:23	djokovic ha fatto la storia vincendo  slam e non piegandosi a nessun ricattounico giocatore usopen non vaccinatouna domanda mi sorge spontanea chi cavolo è selvaggia lucarelli e un nome dae da onlyfans ma soprattutto non gli conveniva cancellare questo tweet 	vaccinato	djokovic ha fatto la storia vincendo  slam e non piegandosi a nessun ricattounico giocatore usopen non una domanda mi sorge spontanea chi cavolo è selvaggia lucarelli e un nome dae da onlyfans ma soprattutto non gli conveniva cancellare questo tweet 
1750	Un non vaccinato e un russo in finale agli US Open a casa di Biden e Fauci.Si gode!!!	1.0	0.0	2023-09-12 11:41	un non vaccinato e un russo in finale agli us open a casa di biden e faucisi gode	vaccinato	un non  e un russo in finale agli us open a casa di biden e faucisi gode
1788	Da #Non #Vaccinato, Non solo #Non e' #Morto ma ha #Vinto anche gli #USOpen. #Djokovic conquista il 24° #Slam! https://t.co/VnIzxuc4iX https://t.co/qNNeq6jANy	1.0	0.0	2023-09-12 18:14	da non vaccinato non solo non e moo ma ha vinto anche gli usopen djokovic conquista il  slam  	vaccinato	da non  non solo non e moo ma ha vinto anche gli usopen djokovic conquista il  slam  
1806	"Per non urtare la sensibilità dei novax, è fatto divieto di pronunciare la frase""sei grande e vaccinato"""	1.0	0.0	2023-09-12 22:11	per non uare la sensibilità dei novax  è fatto divieto di pronunciare la frasesei grande e vaccinato	vaccinato	per non uare la sensibilità dei novax  è fatto divieto di pronunciare la frasesei grande e 
1813	Avverto la sensazione che in mancanza di restrizioni, questa campagna vaccinale sarà un flop!I vaccinati si fidano della scienza... solo che hanno bisogno di una spintarella??In realtà il vaccinato obbligato è un novax che non ce l'ha fatta...??	1.0	0.0	2023-09-13 4:58	avveo la sensazione che in mancanza di restrizioni questa campagna vaccinale sarà un flopi vaccinati si fidano della scienza solo che hanno bisogno di una spintarellain realtà il vaccinato obbligato è un novax che non ce lha fatta	vaccinato	avveo la sensazione che in mancanza di restrizioni questa campagna vaccinale sarà un flopi vaccinati si fidano della scienza solo che hanno bisogno di una spintarellain realtà il  obbligato è un novax che non ce lha fatta
1824	Tedros non è vaccinato. Lui stava protestando per la diffusione dei vaccini in Africa, che avete capito? https://t.co/DUhlSQoHTz	1.0	0.0	2023-09-13 7:57	tedros non è vaccinato lui stava protestando per la diffusione dei vaccini in africa che avete capito 	vaccinato	tedros non è  lui stava protestando per la diffusione dei vaccini in africa che avete capito 
1837	Grazie mamma grazie papà per esservi sempre affidati alla scienza, per avermi vaccinato contro ogni malattia possibile e per non essere stati così ignoranti come Fabrizio https://t.co/0Pwj8OQiRb	1.0	0.0	2023-09-13 12:42	grazie mamma grazie papà per esservi sempre affidati alla scienza per avermi vaccinato contro ogni malattia possibile e per non essere stati così ignoranti come fabrizio 	vaccinato	grazie mamma grazie papà per esservi sempre affidati alla scienza per avermi  contro ogni malattia possibile e per non essere stati così ignoranti come fabrizio 
1841	Solo l'1% dei soggetti a rischio covid non è vaccinato. A ottobre nuova campagna vaccinale insieme ad antinfluenzale https://t.co/0zjRnPzKxE #ANSA	1.0	0.0	2023-09-13 13:42	solo l dei soggetti a rischio covid non è vaccinato a ottobre nuova campagna vaccinale insieme ad antinfluenzale  ansa	vaccinato	solo l dei soggetti a rischio covid non è  a ottobre nuova campagna vaccinale insieme ad antinfluenzale  ansa
1842	Solo l'1% dei soggetti a rischio covid non è vaccinato https://t.co/AYn5h10Ysj	1.0	0.0	2023-09-13 13:48	solo l dei soggetti a rischio covid non è vaccinato 	vaccinato	solo l dei soggetti a rischio covid non è  
1849	Da #Non #Vaccinato, Non solo #Non e' #Morto ma ha #Vinto anche gli #USOpen. #Djokovic conquista il 24° #Slam! https://t.co/VnIzxuc4iX https://t.co/ONatoqe5P5	1.0	0.0	2023-09-13 15:52	da non vaccinato non solo non e moo ma ha vinto anche gli usopen djokovic conquista il  slam  	vaccinato	da non  non solo non e moo ma ha vinto anche gli usopen djokovic conquista il  slam  
0	"@fratotolo2 @MamolkcsMamol Pensa se fosse ""non vaccinata"" ????????"	1.0	0.0	2023-08-30 11:39	  pensa se fosse non vaccinata 	vaccinata	  pensa se fosse non  
1	RT @Corvelva: @supercap70 Il vaccino antinfluenzale in 9 fatti scientifici1. C'è un aumento del 65% del rischio di malattie respiratorie non influenzali nelle popolazioni vaccinata contro l'influenza.2. Gli studi dimostrano che il vaccino antinfluenzale non riduce la domanda ospedaliera.3. Gli studi	1.0	1.0	2023-08-30 13:06	   il vaccino antinfluenzale in  fatti scientifici cè un aumento del  del rischio di malattie respiratorie non influenzali nelle popolazioni vaccinata contro linfluenza gli studi dimostrano che il vaccino antinfluenzale non riduce la domanda ospedaliera gli studi	vaccinata	   il vaccino antinfluenzale in  fatti scientifici cè un aumento del  del rischio di malattie respiratorie non influenzali nelle popolazioni  contro linfluenza gli studi dimostrano che il vaccino antinfluenzale non riduce la domanda ospedaliera gli studi
20	@FanCooler2 @radiosilvana @marco_borrano @YanezPeter @Lancillotto810 @matt7gh Il gip ha aperto in indagine per omicidio colposo.Perché per il quadro clinico non avrebbe dovuto essere vaccinata.Ergo Belpietro o ha mentito, o non era conoscenza dei fatti, il che deontologicamente fa un po' schifo.	1.0	1.0	2023-08-30 21:44	      il gip ha apeo in indagine per omicidio colposoperché per il quadro clinico non avrebbe dovuto essere vaccinataergo belpietro o ha mentito o non era conoscenza dei fatti il che deontologicamente fa un po schifo	vaccinata	      il gip ha apeo in indagine per omicidio colposoperché per il quadro clinico non avrebbe dovuto essere ergo belpietro o ha mentito o non era conoscenza dei fatti il che deontologicamente fa un po schifo
21	@anam_shivaja @AngeloKhatib Anche io. Si meraviglia? mentre non ho fatto quello che chiamavano vaccino per il covid 19. Sono vaccinata anche per la polio. Quindi mi dica sono una Novax ?	1.0	0.0	2023-08-30 21:59	  anche io si meraviglia mentre non ho fatto quello che chiamavano vaccino per il covid  sono vaccinata anche per la polio quindi mi dica sono una novax 	vaccinata	  anche io si meraviglia mentre non ho fatto quello che chiamavano vaccino per il covid  sono  anche per la polio quindi mi dica sono una novax 
38	@Agenzia_Ansa Mai vaccinato, dal 2017 manco un raffreddore, svegliatevi zombie! Sono pure invalido civile e ho 3 patologie croniche. La mia compagna sana 100% idem mai vaccinata, mai un raffreddore.Tutti i vaccinati che conosco hanno tutti preso il covid, chi prima chi dopo il vaccino. Suvvia	1.0	0.0	2023-08-31 9:09	 mai vaccinato dal  manco un raffreddore svegliatevi zombie sono pure invalido civile e ho  patologie croniche la mia compagna sana  idem mai vaccinata mai un raffreddoretutti i vaccinati che conosco hanno tutti preso il covid  chi prima chi dopo il vaccino suvvia	vaccinata	 mai vaccinato dal  manco un raffreddore svegliatevi zombie sono pure invalido civile e ho  patologie croniche la mia compagna sana  idem mai  mai un raffreddoretutti i vaccinati che conosco hanno tutti preso il covid  chi prima chi dopo il vaccino suvvia
46	@HoaraBorselli Cioè, io non mi posso ubriacare se ho voglia ma il lupo sì? Lo capite che state spostando il punto della questione? Mi verrà un infarto a sentire ste cazzate  e diranno pure che è colpa mia che mi sono vaccinata.	1.0	0.0	2023-08-31 12:17	 cioè io non mi posso ubriacare se ho voglia ma il lupo sì lo capite che state spostando il punto della questione mi verrà un infao a sentire ste cazzate  e diranno pure che è colpa mia che mi sono vaccinata	vaccinata	 cioè io non mi posso ubriacare se ho voglia ma il lupo sì lo capite che state spostando il punto della questione mi verrà un infao a sentire ste cazzate  e diranno pure che è colpa mia che mi sono 
88	@SaverioMascaro @a_meluzzi Se si e vaccinata se la prendesse con il ministro della sanità Speranza ...	1.0	0.0	2023-09-02 7:23	  se si e vaccinata se la prendesse con il ministro della sanità speranza 	vaccinata	  se si e  se la prendesse con il ministro della sanità speranza 
96	Mi chiedevo se tra quelli che piangono la morte di mamma orsa ci sono quelli che augurano la morte a chi non si vaccinata??? l'ipocrisia non solo al TG. Ma ovunque!	1.0	0.0	2023-09-02 9:23	mi chiedevo se tra quelli che piangono la moe di mamma orsa ci sono quelli che augurano la moe a chi non si vaccinata lipocrisia non solo al tg ma ovunque	vaccinata	mi chiedevo se tra quelli che piangono la moe di mamma orsa ci sono quelli che augurano la moe a chi non si  lipocrisia non solo al tg ma ovunque
98	A questa vecchia rincoglionita pluri vaccinata, l'onore di riaprire la nuova emergenza #Covid_19 https://t.co/q9TiIHDukl	1.0	0.0	2023-09-02 9:57	a questa vecchia rincoglionita pluri vaccinata lonore di riaprire la nuova emergenza covid  	vaccinata	a questa vecchia rincoglionita pluri  lonore di riaprire la nuova emergenza covid  
101	@Ektoras_74 @Carlo314159 @MaxCi65 @CantiniGiorgio @Valeria86788501 @SkyTG24 La Spagna ha oltre l'85% della popolazione vaccinata, una delle più altre in Europa insieme al Portogallo, e quasi il 100% tra gli over 90. A cosa serviva un Greenpass come il nostro? Ma restrizioni le hanno attuate anche loro, differenziate per regione.	1.0	0.0	2023-09-02 10:49	      la spagna ha oltre l8 della popolazione vaccinata una delle più altre in europa insieme al poogallo e quasi il  tra gli over  a cosa serviva un greenpass come il nostro ma restrizioni le hanno attuate anche loro differenziate per regione	vaccinata	      la spagna ha oltre l8 della popolazione  una delle più altre in europa insieme al poogallo e quasi il  tra gli over  a cosa serviva un greenpass come il nostro ma restrizioni le hanno attuate anche loro differenziate per regione
112	@RSpighetti @LoredanaBerte Impossibile. È vaccinata.Me lo ha detto Mario Draghi.	1.0	0.0	2023-09-02 14:57	  impossibile è vaccinatame lo ha detto mario draghi	vaccinata	  impossibile è me lo ha detto mario draghi
113	@fanpage Con tutto quello che si è calata si preoccupa per un raffreddore??? E poi è vaccinata quindi è praticamente immortale.	1.0	0.0	2023-09-02 15:00	 con tutto quello che si è calata si preoccupa per un raffreddore e poi è vaccinata quindi è praticamente immoale	vaccinata	 con tutto quello che si è calata si preoccupa per un raffreddore e poi è  quindi è praticamente immoale
129	Ed è tra i vaccinati più fortunati, avendo solo il covid e non essendo morta di malore improvviso, emorragia cerebrale, leucemia, ecc ecc... L'ignoranza e la stupidità si pagano purtroppo, come pure l'intelligenza...	1.0	1.0	2023-09-02 23:31	ed è tra i vaccinati più founati avendo solo il covid e non essendo moa di malore improvviso emorragia cerebrale leucemia ecc ecc lignoranza e la stupidità si pagano puroppo come pure lintelligenza	vaccinata	ed è tra i vaccinati più founati avendo solo il covid e non essendo moa di malore improvviso emorragia cerebrale leucemia ecc ecc lignoranza e la stupidità si pagano puroppo come pure lintelligenza
135	@EstateMartino Mai vaccinata per il coso 19!	1.0	0.0	2023-09-03 6:00	 mai vaccinata per il coso 	vaccinata	 mai  per il coso 
147	"La 23enne Martina Morelli morta per malore improvviso, cardiologo: ""possibile correlazione con vaccino Covid"" ???? PARREBBE PROPRIO VACCINATA PURE LEI!  ?@Quirinale? ??@MinisteroSalute? ?@giusbrindisi? ?@MagDemocratica?  https://t.co/mOiMERVr8q"	1.0	1.0	2023-09-03 15:08	la enne maina morelli moa per malore improvviso cardiologo possibile correlazione con vaccino covid   parrebbe proprio vaccinata pure lei       	vaccinata	la enne maina morelli moa per malore improvviso cardiologo possibile correlazione con vaccino covid   parrebbe proprio  pure lei       
153	"Ragazzi, questa antifascista e femminista, è ""vaccinata"" e si contagia ed è felice di aver fatto I ""vaccini"".Della serie ""Almeno non finisco intubata."" ??.Comunque, ciò è la prova che i ""vaccini"" indeboliscono il sistema immunitario.E comunque, non è necessario fare i tamponi. https://t.co/LpJ0QCJFzl"	1.0	1.0	2023-09-03 21:30	ragazzi questa antifascista e femminista è vaccinata e si contagia ed è felice di aver fatto i vaccinidella serie almeno non finisco intubata comunque ciò è la prova che i vaccini indeboliscono il sistema immunitarioe comunque non è necessario fare i tamponi 	vaccinata	ragazzi questa antifascista e femminista è  e si contagia ed è felice di aver fatto i vaccinidella serie almeno non finisco intubata comunque ciò è la prova che i vaccini indeboliscono il sistema immunitarioe comunque non è necessario fare i tamponi 
156	"RT @Rosalba_Falzone: Ragazzi, questa antifascista e femminista, è ""vaccinata"" e si contagia ed è felice di aver fatto I ""vaccini"".Della serie ""Almeno non finisco intubata."" ??.Comunque, ciò è la prova che i ""vaccini"" indeboliscono il sistema immunitario.E comunque, non è necessario fare i tamponi. https://t.co/LpJ0QCJFzl"	1.0	1.0	2023-09-03 22:24	  ragazzi questa antifascista e femminista è vaccinata e si contagia ed è felice di aver fatto i vaccinidella serie almeno non finisco intubata comunque ciò è la prova che i vaccini indeboliscono il sistema immunitarioe comunque non è necessario fare i tamponi 	vaccinata	  ragazzi questa antifascista e femminista è  e si contagia ed è felice di aver fatto i vaccinidella serie almeno non finisco intubata comunque ciò è la prova che i vaccini indeboliscono il sistema immunitarioe comunque non è necessario fare i tamponi 
164	@mikimou82060228 Mi è sempre piaciuto, porta i segni di non essere stata vaccinata a suo tempo	1.0	0.0	2023-09-04 12:33	 mi è sempre piaciuto poa i segni di non essere stata vaccinata a suo tempo	vaccinata	 mi è sempre piaciuto poa i segni di non essere stata  a suo tempo
169	Maria Caterina Federici, malore in mare a Orbetello: morta la sociologa, fu docente alla Sapienza di Roma ???? VACCINATA ANCHE LEI? Dove sono gli scienziatih???? ?@giusbrindisi? ?@MinisteroSalute? ?@Quirinale?  https://t.co/pX8PAgAX2g	1.0	1.0	2023-09-04 16:17	maria caterina federici malore in mare a orbetello moa la sociologa fu docente alla sapienza di roma  vaccinata anche lei dove sono gli scienziatih     	vaccinata	maria caterina federici malore in mare a orbetello moa la sociologa fu docente alla sapienza di roma   anche lei dove sono gli scienziatih     
177	@Martina37468325 @Corvelva Io l'ho preso, in usa, di ritorno in Italia. Sviluppato in aereo, febbre a 39,6. Ne sono ancora dentro. Non vaccinata, avuto omicron a gennaio 21.	1.0	0.0	2023-09-05 6:55	  io lho preso in usa di ritorno in italia sviluppato in aereo febbre a  ne sono ancora dentro non vaccinata avuto omicron a gennaio 	vaccinata	  io lho preso in usa di ritorno in italia sviluppato in aereo febbre a  ne sono ancora dentro non  avuto omicron a gennaio 
181	@Agenzia_Ansa Ovviamente, perché vaccinata! E perché reintrodurre la pandemenza covidiota!Non vi crede più nessuno!Pagliacci ?? ?? ??	1.0	0.0	2023-09-05 8:33	 ovviamente perché vaccinata e perché reintrodurre la pandemenza covid otanon vi crede più nessunopagliacci   	vaccinata	 ovviamente perché  e perché reintrodurre la pandemenza covid otanon vi crede più nessunopagliacci   
185	@borghi_claudio Non vaccinata mai covid	1.0	0.0	2023-09-05 10:18	 non vaccinata mai covid	vaccinata	 non  mai covid
189	@gianniruj @ilClito_Ride No, mi sono vaccinata prima del suo arrivo. E il disagio è tipico dei: incivili, piagnoni, ipocondriaci, disertori, in poche parole i Novax. Saluti vivissimi.	1.0	0.0	2023-09-05 13:20	  no mi sono vaccinata prima del suo arrivo e il disagio è tipico dei incivili piagnoni ipocondriaci diseori in poche parole i novax  saluti vivissimi	vaccinata	  no mi sono  prima del suo arrivo e il disagio è tipico dei incivili piagnoni ipocondriaci diseori in poche parole i novax  saluti vivissimi
