	Content	Vaccine content	Vaccine safety	date	text_clean	Filter	text_wo_filter_word	text_wo_stopwords_or_filters
115	RT @SenatorAntic: During last night's Senate hearing into our COVID 19 Vaccine Discrimination Bill representatives from Moderna couldn't provide the numbers of serious adverse reactions from their COVID mRNA injection.I was so stunned I literally dropped my pen!Watch below: https://t.co/P4COBxWk7w	1.0	1.0	2023-08-04 7:01	  during last nights senate hearing into our covid  vaccine discrimination bill representatives from moderna couldnt provide the numbers of serious adverse reactions from their covid mrna injectioni was so stunned i literally dropped my penwatch below 	vaccine	  during last nights senate hearing into our covid   discrimination bill representatives from moderna couldnt provide the numbers of serious adverse reactions from their covid mrna injectioni was so stunned i literally dropped my penwatch below 	last nights senate hearing covid discrimination bill representatives moderna couldnt provide numbers serious adverse reactions covid mrna injectioni stunned literally dropped penwatch
121	@GBNEWS @StephenGBNews @dranitaraja @LuciaMizzoni @johnmcternan @lisaminot JRM for PM immediately with Bridgen as deputy. Vaccines kill. Vaccines cause cancer. Ask Bridgen on. Ask the whistleblower doctors on. Invite Neil Oliver on. Oust Moderna Rishi now. Pharma greed corrupts. Invite Mark Steyn back on. The heroes.	1.0	1.0	2023-08-04 8:11	      jrm for pm immediately with bridgen as deputy vaccine  kill vaccine  cause cancer ask bridgen on ask the whistleblower doctors on invite neil oliver on oust moderna rishi now pharma greed corrupts invite mark steyn back on the heroes	vaccine	      jrm for pm immediately with bridgen as deputy   kill   cause cancer ask bridgen on ask the whistleblower doctors on invite neil oliver on oust moderna rishi now pharma greed corrupts invite mark steyn back on the heroes	jrm pm immediately bridgen deputy kill cause cancer ask bridgen ask whistleblower doctors invite neil oliver oust moderna rishi pharma greed corrupts invite mark steyn back heroes
123	RT @Jikkyleaks: @SaiKate108 Important to note for @mattjcan @SenatorRennick and others.(1) the published vaccine study in Dec 2020 did NOT show any benefit for severe disease and was not studied for it(2) the study showed reduction in *infection* only, which was not shown in real world use. That is,	1.0	0.0	2023-08-04 8:27	   impoant to note for   and others the published vaccine study in dec  did not show any benefit for severe disease and was not studied for it the study showed reduction in infection only which was not shown in real world use that is	vaccine	   impoant to note for   and others the published  study in dec  did not show any benefit for severe disease and was not studied for it the study showed reduction in infection only which was not shown in real world use that is	impoant note others published study dec show benefit severe disease studied study showed reduction infection shown real world use
126	RT @JimFergusonUK: Children offered £1,500 to take part in new Covid vaccine trial - The Conservative Woman. Are there still people either too ignorant or plain stupid that would still expose their children to this? The Government seems to think so. #VaccineInjuries #mNRA  https://t.co/fdmm1ncVDW	1.0	1.0	2023-08-04 9:05	  children offered  to take pa in new covid vaccine trial  the conservative woman are there still people either too ignorant or plain stupid that would still expose their children to this the government seems to think so vaccine njuries mnra  	vaccine	  children offered  to take pa in new covid  trial  the conservative woman are there still people either too ignorant or plain stupid that would still expose their children to this the government seems to think so  njuries mnra  	children offered take pa new covid trial conservative woman still people either ignorant plain stupid would still expose children government seems think njuries mnra
127	RT @NHSEnglandLDN: Measles cases are rising in London. Two doses of the MMR  vaccine can help stop your child becoming seriously unwell with measles.Check your child's red book and contact your GP to book an appointment for any missed vaccinations.Find out more at https://t.co/F2h6LWmLt7 https://t.co/T1DMAsYAYc	1.0	0.0	2023-08-04 9:22	  measles cases are rising in london two doses of the mmr  vaccine can help stop your child becoming seriously unwell with measlescheck your childs red book and contact your gp to book an appointment for any missed vaccinationsfind out more at  	vaccine	  measles cases are rising in london two doses of the mmr   can help stop your child becoming seriously unwell with measlescheck your childs red book and contact your gp to book an appointment for any missed vaccinationsfind out more at  	measles cases rising london two doses mmr help stop child becoming seriously unwell measlescheck childs red book contact gp book appointment missed vaccinationsfind
130	"RT @JimFergusonUK: Moderna: The company that British PM #Sunak invested $500 million into from a company that he set up (Thelema Partners) and funneled into Moderna. Sunak swore that the Vaccine was ""safe and effective"" after his investment in parliament.If the vaccine is shown to be unsafe and https://t.co/QUVszLi0Nt"	1.0	1.0	2023-08-04 9:48	  moderna the company that british pm sunak invested  million into from a company that he set up thelema paners and funneled into moderna sunak swore that the vaccine was safe and effective after his investment in parliamentif the vaccine is shown to be unsafe and 	vaccine	  moderna the company that british pm sunak invested  million into from a company that he set up thelema paners and funneled into moderna sunak swore that the  was safe and effective after his investment in parliamentif the  is shown to be unsafe and 	moderna company british pm sunak invested million company set thelema paners funneled moderna sunak swore safe effective investment parliamentif shown unsafe
131	"RT @JimFergusonUK: Moderna: The company that British PM #Sunak invested $500 million into from a company that he set up (Thelema Partners) and funneled into Moderna. Sunak swore that the Vaccine was ""safe and effective"" after his investment in parliament.If the vaccine is shown to be unsafe and https://t.co/QUVszLi0Nt"	1.0	0.0	2023-08-04 9:52	  moderna the company that british pm sunak invested  million into from a company that he set up thelema paners and funneled into moderna sunak swore that the vaccine was safe and effective after his investment in parliamentif the vaccine is shown to be unsafe and 	vaccine	  moderna the company that british pm sunak invested  million into from a company that he set up thelema paners and funneled into moderna sunak swore that the  was safe and effective after his investment in parliamentif the  is shown to be unsafe and 	moderna company british pm sunak invested million company set thelema paners funneled moderna sunak swore safe effective investment parliamentif shown unsafe
132	RT @jeffreyatucker: A smart man wrote me in April 2020 of the Covid vaccine. He said this will be an incredible disaster, creating many years of injury and death, discrediting the whole of medicine and government and media, leading to mass social distrust and possible political revolution. Life	1.0	1.0	2023-08-04 10:11	  a sma man wrote me in april  of the covid vaccine  he said this will be an incredible disaster creating many years of injury and death discrediting the whole of medicine and government and media leading to mass social distrust and possible political revolution life	vaccine	  a sma man wrote me in april  of the covid   he said this will be an incredible disaster creating many years of injury and death discrediting the whole of medicine and government and media leading to mass social distrust and possible political revolution life	sma man wrote april covid said incredible disaster creating many years injury death discrediting whole medicine government media leading mass social distrust possible political revolution life
136	"RT @elisaperego78: The case report involves a 91 year old woman generally, overall, in good health who suffered from ""mild"" covid, with ""flu-like"" acute manifestations, and no hospitalization. She tested positive for SARS-CoV-2. She had later on 2 doses of the moderna vaccine."	1.0	0.0	2023-08-04 11:10	  the case repo involves a  year old woman generally overall in good health who suffered from mild covid  with flulike acute manifestations and no hospitalization she tested positive for sarscov she had later on  doses of the moderna vaccine 	vaccine	  the case repo involves a  year old woman generally overall in good health who suffered from mild covid  with flulike acute manifestations and no hospitalization she tested positive for sarscov she had later on  doses of the moderna  	case repo involves year old woman generally overall good health suffered mild covid flulike acute manifestations hospitalization tested positive sarscov later doses moderna
137	RT @DiedSuddenly_: Pfizer GETS DESTROYED! ??Senator Gerard Rennick forced Pfizer to admit that they didn't understand the mechanism by which the vaccine causes myocarditis &amp; pericarditis. So much for trusting the science. ?? https://t.co/OJDMlPtC3I	1.0	1.0	2023-08-04 11:13	  pfizer gets destroyed senator gerard rennick forced pfizer to admit that they didnt understand the mechanism by which the vaccine causes myocarditis  pericarditis so much for trusting the science  	vaccine	  pfizer gets destroyed senator gerard rennick forced pfizer to admit that they didnt understand the mechanism by which the  causes myocarditis  pericarditis so much for trusting the science  	pfizer gets destroyed senator gerard rennick forced pfizer admit didnt understand mechanism causes myocarditis pericarditis much trusting science
139	RT @beverleyturner: As I was shouting about in 2020-2022, @pfizer NEVER TESTED the jabs re #transmission. So all those bullies telling people they were going to kill grandma were just repeating a lie.All that b****cks about vaccine passports; jab-or-no-job; lock up the unjabbed.... Was based on	1.0	0.0	2023-08-04 11:44	  as i was shouting about in   never tested the jabs re transmission so all those bullies telling people they were going to kill grandma were just repeating a lieall that bcks about vaccine passpos jabornojob lock up the unjabbed was based on	vaccine	  as i was shouting about in   never tested the jabs re transmission so all those bullies telling people they were going to kill grandma were just repeating a lieall that bcks about  passpos jabornojob lock up the unjabbed was based on	shouting never tested jabs transmission bullies telling people going kill grandma repeating lieall bcks passpos jabornojob lock unjabbed based
140	RT @wolsned: Pfizer employees got a different batch of vaccine to the plebs.Wanna bet it was saline solution especially shipped in ??They hate you, you are guinea pigs to be profited off.https://t.co/weE2zIwG8d	1.0	0.0	2023-08-04 11:46	  pfizer employees got a different batch of vaccine to the plebswanna bet it was saline solution especially shipped in they hate you you are guinea pigs to be profited off	vaccine	  pfizer employees got a different batch of  to the plebswanna bet it was saline solution especially shipped in they hate you you are guinea pigs to be profited off	pfizer employees got different batch plebswanna bet saline solution especially shipped hate guinea pigs profited
144	"RT @MontagueTerrie: It's interesting isn't it, to see so many backtracking now over ""forced"" vaccine mandates for many, many workers to remain in employment? Despicable, all of them.... saying, Ah well, you had a choice? Get lost already, you forced it upon unsuspecting individuals and almost, if"	1.0	0.0	2023-08-04 12:38	  its interesting isnt it to see so many backtracking now over forced vaccine mandates for many many workers to remain in employment despicable all of them saying ah well you had a choice get lost already you forced it upon unsuspecting individuals and almost if	vaccine	  its interesting isnt it to see so many backtracking now over forced  mandates for many many workers to remain in employment despicable all of them saying ah well you had a choice get lost already you forced it upon unsuspecting individuals and almost if	interesting isnt see many backtracking forced mandates many many workers remain employment despicable saying ah well choice get lost already forced upon unsuspecting individuals almost
145	RT @beverleyturner: As I was shouting about in 2020-2022, @pfizer NEVER TESTED the jabs re #transmission. So all those bullies telling people they were going to kill grandma were just repeating a lie.All that b****cks about vaccine passports; jab-or-no-job; lock up the unjabbed.... Was based on	1.0	1.0	2023-08-04 12:41	  as i was shouting about in   never tested the jabs re transmission so all those bullies telling people they were going to kill grandma were just repeating a lieall that bcks about vaccine passpos jabornojob lock up the unjabbed was based on	vaccine	  as i was shouting about in   never tested the jabs re transmission so all those bullies telling people they were going to kill grandma were just repeating a lieall that bcks about  passpos jabornojob lock up the unjabbed was based on	shouting never tested jabs transmission bullies telling people going kill grandma repeating lieall bcks passpos jabornojob lock unjabbed based
150	RT @ABridgen: Pfizer employees were given a special batch of vaccine, not the one which was rolled out to the public . Why ?Was it really safe and effective?	1.0	1.0	2023-08-04 13:29	  pfizer employees were given a special batch of vaccine  not the one which was rolled out to the public  why was it really safe and effective	vaccine	  pfizer employees were given a special batch of   not the one which was rolled out to the public  why was it really safe and effective	pfizer employees given special batch one rolled public really safe effective
153	RT @JohnMappin: Retweet if you think that the general public deserves to see and must see the full UNREDACTED copies of the indemnity agreements between Governments and all vaccine manufacturers @ABridgen @charliekirk11 @ChanelRion @therealroseanne @GenFlynn @elonmusk	1.0	0.0	2023-08-04 13:48	  retweet if you think that the general public deserves to see and must see the full unredacted copies of the indemnity agreements between governments and all vaccine manufacturers      	vaccine	  retweet if you think that the general public deserves to see and must see the full unredacted copies of the indemnity agreements between governments and all  manufacturers      	retweet think general public deserves see must see full unredacted copies indemnity agreements governments manufacturers
154	"RT @JimFergusonUK: Did Justin Trudeau have any financial dealings or investments with any of the vaccine producers? The British PM #Sunak certainly did to the tune of $500 Million in Moderna before going on to insist the vaccines were ""Safe and effective""Is it time to examine the financial https://t.co/ZO3jKTVNip"	1.0	1.0	2023-08-04 13:53	  did justin trudeau have any financial dealings or investments with any of the vaccine producers the british pm sunak ceainly did to the tune of  million in moderna before going on to insist the vaccine  were safe and effectiveis it time to examine the financial 	vaccine	  did justin trudeau have any financial dealings or investments with any of the  producers the british pm sunak ceainly did to the tune of  million in moderna before going on to insist the   were safe and effectiveis it time to examine the financial 	justin trudeau financial dealings investments producers british pm sunak ceainly tune million moderna going insist safe effectiveis time examine financial
155	Children offered £1,500 to take part in new Covid vaccine trial https://t.co/m7QgRKDxX4 via @theconwom	1.0	0.0	2023-08-04 13:57	children offered  to take pa in new covid vaccine trial  via 	vaccine	children offered  to take pa in new covid  trial  via 	children offered take pa new covid trial via
160	"RT @TheChiefNerd: ?? New Study Published in the AHA Journal Finds Children w/ COVID-19 VaccineAssociated Myocarditis Have Impaired Cardiac Function Nearly a Year Later ""We evaluated the cardiovascular outcomes at up to 1 year in adolescent patients diagnosed with COVID-19 vaccineassociated https://t.co/GNpagMFloY"	1.0	1.0	2023-08-04 15:38	   new study published in the aha journal finds children w covid  vaccine associated myocarditis have impaired cardiac function nearly a year later we evaluated the cardiovascular outcomes at up to  year in adolescent patients diagnosed with covid  vaccine associated 	vaccine	   new study published in the aha journal finds children w covid   associated myocarditis have impaired cardiac function nearly a year later we evaluated the cardiovascular outcomes at up to  year in adolescent patients diagnosed with covid   associated 	new study published aha journal finds children w covid associated myocarditis impaired cardiac function nearly year later evaluated cardiovascular outcomes year adolescent patients diagnosed covid associated
161	"RT @Jennifer_Arcuri: According to Pfizer, no one was ""forced"" to take the vaccine.  Except if you wanted to keep a job, go to school, or go on holiday. Expect the same desperate attempt with Digital ID.And just like track and trace, mandates and lockdowns, it too will fail. Whatever ""their"""	1.0	0.0	2023-08-04 15:48	  according to pfizer no one was forced to take the vaccine   except if you wanted to keep a job go to school or go on holiday expect the same desperate attempt with digital idand just like track and trace mandates and lockdowns it too will fail whatever their	vaccine	  according to pfizer no one was forced to take the    except if you wanted to keep a job go to school or go on holiday expect the same desperate attempt with digital idand just like track and trace mandates and lockdowns it too will fail whatever their	according pfizer one forced take except wanted keep job go school go holiday expect desperate attempt digital idand like track trace mandates lockdowns fail whatever
162	"RT @robinmonotti: ""Pfizer undertook to import a batch of vaccine specifically for the employee vaccination programme""Now why would Pfizer use a specific batch of vaccine for its employees rather than rely on ones used on the rest of the population? https://t.co/wC9gtSp1gZ"	1.0	0.0	2023-08-04 15:54	  pfizer undeook to impo a batch of vaccine specifically for the employee vaccination programmenow why would pfizer use a specific batch of vaccine for its employees rather than rely on ones used on the rest of the population 	vaccine	  pfizer undeook to impo a batch of  specifically for the employee vaccination programmenow why would pfizer use a specific batch of  for its employees rather than rely on ones used on the rest of the population 	pfizer undeook impo batch specifically employee vaccination programmenow would pfizer use specific batch employees rather rely ones used rest population
172	"RT @BernieSpofforth: AUSTRALIA - Now its Pfizer's turn to get a grilling. ""Did your company ask the Minister to introduce vaccine mandates for employment?""""Why is your indemnity confidential? what are you hiding?""There will be no amnesty ?? https://t.co/4nLfC6sHlC"	1.0	0.0	2023-08-04 17:26	  australia  now its pfizers turn to get a grilling did your company ask the minister to introduce vaccine mandates for employmentwhy is your indemnity confidential what are you hidingthere will be no amnesty  	vaccine	  australia  now its pfizers turn to get a grilling did your company ask the minister to introduce  mandates for employmentwhy is your indemnity confidential what are you hidingthere will be no amnesty  	australia pfizers turn get grilling company ask minister introduce mandates employmentwhy indemnity confidential hidingthere amnesty
174	@resilient333 Show me some evidence it was the vaccine thenHis own parents have said he was in hospital with a viral infectionStop using kids deaths for propaganda. It's warped https://t.co/OxwkSMN6ND	1.0	0.0	2023-08-04 17:54	 show me some evidence it was the vaccine thenhis own parents have said he was in hospital with a viral infectionstop using kids deaths for propaganda its warped 	vaccine	 show me some evidence it was the  thenhis own parents have said he was in hospital with a viral infectionstop using kids deaths for propaganda its warped 	show evidence thenhis parents said hospital viral infectionstop using kids deaths propaganda warped
176	RT @BMA_GP: Cuts to the Covid vaccination programme will undervalue general practice and threaten the safety of vulnerable patients.Full response from @doctor_katie  https://t.co/bIEmw2nQB2	1.0	0.0	2023-08-04 18:06	  cuts to the covid vaccination programme will undervalue general practice and threaten the safety of vulnerable patientsfull response from   	vaccine	  cuts to the covid vaccination programme will undervalue general practice and threaten the safety of vulnerable patientsfull response from   	cuts covid vaccination programme undervalue general practice threaten safety vulnerable patientsfull response
177	RT @SaiKate108: Pfizer Australia refuses to acknowledge that MRNA technology is gene therapy.Despite the fact that Pfizer admits gene technology includes transfection which is part of the vaccine process.They refused to answer whether any potential claims would be indemnified by the https://t.co/m2eIEDsVxf	1.0	1.0	2023-08-04 18:12	  pfizer australia refuses to acknowledge that mrna technology is gene therapydespite the fact that pfizer admits gene technology includes transfection which is pa of the vaccine processthey refused to answer whether any potential claims would be indemnified by the 	vaccine	  pfizer australia refuses to acknowledge that mrna technology is gene therapydespite the fact that pfizer admits gene technology includes transfection which is pa of the  processthey refused to answer whether any potential claims would be indemnified by the 	pfizer australia refuses acknowledge mrna technology gene therapydespite fact pfizer admits gene technology includes transfection pa processthey refused answer whether potential claims would indemnified
184	"RT @JimFergusonUK: ""No one was forced to take a Vaccine"" PfizerThey know whats coming and are desperate to wriggle out. Now they will put the blame on the politicians to save their skins. They know its unravelling.In Britain we all remember those who insisted that people had to be vaccinated to https://t.co/KiiBgelqP8"	1.0	0.0	2023-08-04 19:53	  no one was forced to take a vaccine  pfizerthey know whats coming and are desperate to wriggle out now they will put the blame on the politicians to save their skins they know its unravellingin britain we all remember those who insisted that people had to be vaccinated to 	vaccine	  no one was forced to take a   pfizerthey know whats coming and are desperate to wriggle out now they will put the blame on the politicians to save their skins they know its unravellingin britain we all remember those who insisted that people had to be vaccinated to 	one forced take pfizerthey know whats coming desperate wriggle put blame politicians save skins know unravellingin britain remember insisted people vaccinated
185	"RT @bambkb: ??????I'm about to show you a clip of Bill and Melinda Gates talking about reducing the population - I want you to tell me HOW you trust these people to 'save your life' with the #Covid #Vaccine after watching this??Reporter : ""The developing world does NOT need more children"" https://t.co/EJWAtojV7D"	1.0	0.0	2023-08-04 20:02	  im about to show you a clip of bill and melinda gates talking about reducing the population  i want you to tell me how you trust these people to save your life with the covid vaccine after watching thisrepoer  the developing world does not need more children 	vaccine	  im about to show you a clip of bill and melinda gates talking about reducing the population  i want you to tell me how you trust these people to save your life with the covid  after watching thisrepoer  the developing world does not need more children 	im show clip bill melinda gates talking reducing population want tell trust people save life covid watching thisrepoer developing world need children
188	RT @PeterSweden7: ??I'm a Christian??I'm a straight male??I'm a climate denier??I'm against feminism??I didn't get the vaccine??I support freedom??I hate 15 minute cities??I support the farmers??I work to EXPOSE Agenda 2030And I'm not ashamed to say it! Who's with me? https://t.co/TuDjlFfLLm	1.0	0.0	2023-08-04 21:48	  im a christianim a straight maleim a climate denierim against feminismi didnt get the vaccine i suppo freedomi hate  minute citiesi suppo the farmersi work to expose agenda and im not ashamed to say it whos with me 	vaccine	  im a christianim a straight maleim a climate denierim against feminismi didnt get the  i suppo freedomi hate  minute citiesi suppo the farmersi work to expose agenda and im not ashamed to say it whos with me 	im christianim straight maleim climate denierim feminismi didnt get suppo freedomi hate minute citiesi suppo farmersi work expose agenda im ashamed say whos
194	Thank you for the amazing work you have done to educate. Moderna here in UK is looking for 10K individuals to trial their booster Mrna, offering £1500. The trials funded by Bill &amp; Melinda Gates Foundation &amp; others through St George's Vaccine Institute &amp; CNPI.	1.0	0.0	2023-08-05 0:33	thank you for the amazing work you have done to educate moderna here in uk is looking for k individuals to trial their booster mrna offering  the trials funded by bill  melinda gates foundation  others through st georges vaccine institute  cnpi	vaccine	thank you for the amazing work you have done to educate moderna here in uk is looking for k individuals to trial their booster mrna offering  the trials funded by bill  melinda gates foundation  others through st georges  institute  cnpi	thank amazing work done educate moderna uk looking k individuals trial booster mrna offering trials funded bill melinda gates foundation others st georges institute cnpi
197	RT @DiedSuddenly_: BREAKING: Pfizer employees were given a special batch through vaccine program that was different from what was forced into the general population. Their own batch of vaccine not given to the rest of the population! https://t.co/VR0MqO5LtW	1.0	0.0	2023-08-05 3:31	  breaking pfizer employees were given a special batch through vaccine program that was different from what was forced into the general population their own batch of vaccine not given to the rest of the population 	vaccine	  breaking pfizer employees were given a special batch through  program that was different from what was forced into the general population their own batch of  not given to the rest of the population 	breaking pfizer employees given special batch program different forced general population batch given rest population
198	RT @DGrouf: @Gordon_dyce @InterBang @ChildrensHD Yes it will most likely kill millions with serious autoimmune response, everyone discussing mRNA vaccines in published papers highlights that problem with mRNA. When you have a vaccine given to billions, millions will die of cytokine storms, the data will be suppressed	1.0	1.0	2023-08-05 3:40	     yes it will most likely kill millions with serious autoimmune response everyone discussing mrna vaccine  in published papers highlights that problem with mrna when you have a vaccine given to billions millions will die of cytokine storms the data will be suppressed	vaccine	     yes it will most likely kill millions with serious autoimmune response everyone discussing mrna   in published papers highlights that problem with mrna when you have a  given to billions millions will die of cytokine storms the data will be suppressed	yes likely kill millions serious autoimmune response everyone discussing mrna published papers highlights problem mrna given billions millions die cytokine storms data suppressed
200	"RT @Jikkyleaks: Can we put the ""all the side effects of the COVID mRNA vaccine are due to inadvertent IV injection"" theory to bed now please?The mRNA-LNP technology is dangerous however it's injected. Biodistribution the same. Pfizer's own document: https://t.co/Xd92vP98sJ@Johnincarlisle https://t.co/H9qCJndfI2"	1.0	1.0	2023-08-05 6:44	  can we put the all the side effects of the covid mrna vaccine are due to inadveent iv injection theory to bed now pleasethe mrnalnp technology is dangerous however its injected biodistribution the same pfizers own document  	vaccine	  can we put the all the side effects of the covid mrna  are due to inadveent iv injection theory to bed now pleasethe mrnalnp technology is dangerous however its injected biodistribution the same pfizers own document  	put side effects covid mrna due inadveent iv injection theory bed pleasethe mrnalnp technology dangerous however injected biodistribution pfizers document
203	"RT @WallStreetSilv: Pfizer employees got a special version of the ""vaccine"", not what was given to the general population.Odds are it was just something harmless without mRNA because Pfizer would have legal liability forcing it on their own employees.??"	1.0	0.0	2023-08-05 8:09	  pfizer employees got a special version of the vaccine  not what was given to the general populationodds are it was just something harmless without mrna because pfizer would have legal liability forcing it on their own employees	vaccine	  pfizer employees got a special version of the   not what was given to the general populationodds are it was just something harmless without mrna because pfizer would have legal liability forcing it on their own employees	pfizer employees got special version given general populationodds something harmless without mrna pfizer would legal liability forcing employees
205	"RT @BernieSpofforth: AUSTRALIA - Moderna mauling by Senator Rennick. ""What % of profits does Moderna allocate to help people who have been injured by the vaccine?""Zero. Vaccine injuries are indemnified, it's your government's problem not ours?? https://t.co/599k4SiHZP"	1.0	1.0	2023-08-05 8:17	  australia  moderna mauling by senator rennick what  of profits does moderna allocate to help people who have been injured by the vaccine zero vaccine injuries are indemnified its your governments problem not ours 	vaccine	  australia  moderna mauling by senator rennick what  of profits does moderna allocate to help people who have been injured by the  zero  injuries are indemnified its your governments problem not ours 	australia moderna mauling senator rennick profits moderna allocate help people injured zero injuries indemnified governments problem
206	RT @DrCrazynski: So now death certificates filled out by the doctors aren't considered accurate if they attribute it to something other than Covid. They are erasing vaccine deaths	1.0	0.0	2023-08-05 8:30	  so now death ceificates filled out by the doctors arent considered accurate if they attribute it to something other than covid  they are erasing vaccine deaths	vaccine	  so now death ceificates filled out by the doctors arent considered accurate if they attribute it to something other than covid  they are erasing  deaths	death ceificates filled doctors arent considered accurate attribute something covid erasing deaths
212	RT @JimFergusonUK: Pfizer say that they cant explain Myocarditis and Pericarditis as a result of the vaccine. They know that massive litigation is coming. Desperate not to admit anything that causes liability. #ExcessDeaths #VaccineInjuries #Pfizer #Australia https://t.co/wIAthqyrZ1	1.0	1.0	2023-08-05 9:57	  pfizer say that they cant explain myocarditis and pericarditis as a result of the vaccine  they know that massive litigation is coming desperate not to admit anything that causes liability excessdeaths vaccine njuries pfizer australia 	vaccine	  pfizer say that they cant explain myocarditis and pericarditis as a result of the   they know that massive litigation is coming desperate not to admit anything that causes liability excessdeaths  njuries pfizer australia 	pfizer say cant explain myocarditis pericarditis result know massive litigation coming desperate admit anything causes liability excessdeaths njuries pfizer australia
215	RT @DrEliDavid: Yesterday in Australia's Senate: After repeatedly trying to evade the question, Pfizer representative admits that they don't understand the mechanism by which the vaccine causes myocarditis.Safe and effective! ??https://t.co/9qWNDJlNjb	1.0	1.0	2023-08-05 11:16	  yesterday in australias senate after repeatedly trying to evade the question pfizer representative admits that they dont understand the mechanism by which the vaccine causes myocarditissafe and effective 	vaccine	  yesterday in australias senate after repeatedly trying to evade the question pfizer representative admits that they dont understand the mechanism by which the  causes myocarditissafe and effective 	yesterday australias senate repeatedly trying evade question pfizer representative admits dont understand mechanism causes myocarditissafe effective
217	RT @iluminatibot: Bill Gates Developing mRNA Vaccine Patches That Low-Income Families Will Be Forced To Wear: https://t.co/2zc1qdzed9	1.0	0.0	2023-08-05 12:25	  bill gates developing mrna vaccine patches that lowincome families will be forced to wear 	vaccine	  bill gates developing mrna  patches that lowincome families will be forced to wear 	bill gates developing mrna patches lowincome families forced wear
218	RT @goddeketal: Concerning news to share today. Australian Senator @MRobertsQLD has reported that approximately 1000 post-vaccine deaths have been documented by Australian doctors. However, the Therapeutic Goods Administration (TGA), a regulatory authority, acknowledges only 14 (!!!) of these. https://t.co/PhDQaK9ETN	1.0	1.0	2023-08-05 12:35	  concerning news to share today australian senator  has repoed that approximately  postvaccine deaths have been documented by australian doctors however the therapeutic goods administration tga a regulatory authority acknowledges only   of these 	vaccine	  concerning news to share today australian senator  has repoed that approximately  post deaths have been documented by australian doctors however the therapeutic goods administration tga a regulatory authority acknowledges only   of these 	concerning news share today australian senator repoed approximately post deaths documented australian doctors however therapeutic goods administration tga regulatory authority acknowledges
219	RT @ANTlWEF: ?? Some people wouldn't recognise tyranny if it slapped a mask on them, made them stand 2 meters apart and forced them to take an experimental vaccine for a virus with 99.8% survival rate.	1.0	0.0	2023-08-05 12:35	   some people wouldnt recognise tyranny if it slapped a mask on them made them stand  meters apa and forced them to take an experimental vaccine for a virus with 8 survival rate	vaccine	   some people wouldnt recognise tyranny if it slapped a mask on them made them stand  meters apa and forced them to take an experimental  for a virus with 8 survival rate	people wouldnt recognise tyranny slapped mask made stand meters apa forced take experimental virus 8 survival rate
220	RT @brownecfm: So, my recent retweet from the Irish Sun about Covid cases rising is garnering some, shall we say, interesting comments. This is, quite seriously, the one that saddened me the most. The commenter thought it was the vaccine doing this. People are so close to understanding. https://t.co/99nWfQSUj0	1.0	0.0	2023-08-05 13:00	  so my recent retweet from the irish sun about covid cases rising is garnering some shall we say interesting comments this is quite seriously the one that saddened me the most the commenter thought it was the vaccine doing this people are so close to understanding 	vaccine	  so my recent retweet from the irish sun about covid cases rising is garnering some shall we say interesting comments this is quite seriously the one that saddened me the most the commenter thought it was the  doing this people are so close to understanding 	recent retweet irish sun covid cases rising garnering shall say interesting comments quite seriously one saddened commenter thought people close understanding
222	RT @SenatorRennick: Last night the Senate finally got to question @pfizer as to the effectiveness of the Covid vaccine.It was disappointing that they would not acknowledge the lack of testing they performed prior to the rollout, nor could they explain why it damages heart muscle.If Pfizer can't https://t.co/YecAIXCMIF	1.0	1.0	2023-08-05 13:31	  last night the senate finally got to question  as to the effectiveness of the covid vaccine it was disappointing that they would not acknowledge the lack of testing they performed prior to the rollout nor could they explain why it damages hea muscleif pfizer cant 	vaccine	  last night the senate finally got to question  as to the effectiveness of the covid  it was disappointing that they would not acknowledge the lack of testing they performed prior to the rollout nor could they explain why it damages hea muscleif pfizer cant 	last night senate finally got question effectiveness covid disappointing would acknowledge lack testing performed prior rollout could explain damages hea muscleif pfizer cant
224	RT @ImMeme0: Pfizer employees took vaccine that wasn't from the government stocks. https://t.co/d0rIvOyiME	1.0	0.0	2023-08-05 14:38	  pfizer employees took vaccine that wasnt from the government stocks 	vaccine	  pfizer employees took  that wasnt from the government stocks 	pfizer employees took wasnt government stocks
227	RT @Ward57434516: Please sign and share Reform of the Vaccine Damage Payment Scheme is desperately needed. Support @VIBUK1 https://t.co/BTh6moPvu3	1.0	1.0	2023-08-05 15:13	  please sign and share reform of the vaccine damage payment scheme is desperately needed suppo  	vaccine	  please sign and share reform of the  damage payment scheme is desperately needed suppo  	please sign share reform damage payment scheme desperately needed suppo
228	RT @UsforThemUK: BREAKING:We have today written to Moderna to express our serious concerns about the legal and ethical basis for their recruitment of children to trial a new Covid vaccine product.A full copy of the letter is attached.  We have asked them to respond within 10 working days. https://t.co/1rOUzabSbb	1.0	0.0	2023-08-05 15:19	  breakingwe have today written to moderna to express our serious concerns about the legal and ethical basis for their recruitment of children to trial a new covid vaccine producta full copy of the letter is attached  we have asked them to respond within  working days 	vaccine	  breakingwe have today written to moderna to express our serious concerns about the legal and ethical basis for their recruitment of children to trial a new covid  producta full copy of the letter is attached  we have asked them to respond within  working days 	breakingwe today written moderna express serious concerns legal ethical basis recruitment children trial new covid producta full copy letter attached asked respond within working days
